,forecast_date,target,target_end_date,location,type,quantile,value
877,2020-07-20,4 wk ahead cum death,2020-08-15,06,point,,9997.79501849169
878,2020-07-20,4 wk ahead inc case,2020-08-15,06,point,,119002.921445981
879,2020-07-20,4 wk ahead inc death,2020-08-15,06,point,,582.518115570962
932,2020-07-20,1 wk ahead cum death,2020-07-25,08,point,,1771.9115162750602
933,2020-07-20,1 wk ahead inc case,2020-07-25,08,point,,1695.27197584873
934,2020-07-20,1 wk ahead inc death,2020-07-25,08,point,,19.911516275059103
987,2020-07-20,2 wk ahead cum death,2020-08-01,08,point,,1793.1187741915699
988,2020-07-20,2 wk ahead inc case,2020-08-01,08,point,,2023.9779374681302
989,2020-07-20,2 wk ahead inc death,2020-08-01,08,point,,21.207257916513502
1042,2020-07-20,3 wk ahead cum death,2020-08-08,08,point,,1811.6167355745301
1043,2020-07-20,3 wk ahead inc case,2020-08-08,08,point,,1819.9324966676397
1044,2020-07-20,3 wk ahead inc death,2020-08-08,08,point,,18.497961382958
1097,2020-07-20,4 wk ahead cum death,2020-08-15,08,point,,1828.0497145742102
1098,2020-07-20,4 wk ahead inc case,2020-08-15,08,point,,1723.8624105839199
1099,2020-07-20,4 wk ahead inc death,2020-08-15,08,point,,16.4329789996821
1146,2020-07-20,1 wk ahead cum death,2020-07-25,09,point,,4437.89259644947
1147,2020-07-20,1 wk ahead inc death,2020-07-25,09,point,,41.8925964494729
1194,2020-07-20,2 wk ahead cum death,2020-08-01,09,point,,4464.03494889001
1195,2020-07-20,2 wk ahead inc death,2020-08-01,09,point,,26.1423524405336
1242,2020-07-20,3 wk ahead cum death,2020-08-08,09,point,,4482.02488407116
1243,2020-07-20,3 wk ahead inc death,2020-08-08,09,point,,17.9899351811491
1290,2020-07-20,4 wk ahead cum death,2020-08-15,09,point,,4494.32602601062
1291,2020-07-20,4 wk ahead inc death,2020-08-15,09,point,,12.3011419394634
1344,2020-07-20,1 wk ahead cum death,2020-07-25,10,point,,535.182217501943
1345,2020-07-20,1 wk ahead inc case,2020-07-25,10,point,,385.611120156595
1346,2020-07-20,1 wk ahead inc death,2020-07-25,10,point,,12.182217501942999
1399,2020-07-20,2 wk ahead cum death,2020-08-01,10,point,,547.570939560679
1400,2020-07-20,2 wk ahead inc case,2020-08-01,10,point,,453.177391735542
1401,2020-07-20,2 wk ahead inc death,2020-08-01,10,point,,12.3887220587359
1454,2020-07-20,3 wk ahead cum death,2020-08-08,10,point,,559.890999752691
1455,2020-07-20,3 wk ahead inc case,2020-08-08,10,point,,393.736115380532
1456,2020-07-20,3 wk ahead inc death,2020-08-08,10,point,,12.3200601920122
1509,2020-07-20,4 wk ahead cum death,2020-08-15,10,point,,571.658141316998
1510,2020-07-20,4 wk ahead inc case,2020-08-15,10,point,,357.74170090775596
1511,2020-07-20,4 wk ahead inc death,2020-08-15,10,point,,11.7671415643066
1564,2020-07-20,1 wk ahead cum death,2020-07-25,12,point,,5661.29567917886
1565,2020-07-20,1 wk ahead inc case,2020-07-25,12,point,,91426.70673700061
1566,2020-07-20,1 wk ahead inc death,2020-07-25,12,point,,679.295679178858
1619,2020-07-20,2 wk ahead cum death,2020-08-01,12,point,,6578.78216571301
1620,2020-07-20,2 wk ahead inc case,2020-08-01,12,point,,133200.453367836
1621,2020-07-20,2 wk ahead inc death,2020-08-01,12,point,,917.486486534151
1674,2020-07-20,3 wk ahead cum death,2020-08-08,12,point,,7655.51781440165
1675,2020-07-20,3 wk ahead inc case,2020-08-08,12,point,,173345.164422954
1676,2020-07-20,3 wk ahead inc death,2020-08-08,12,point,,1076.73564868864
1729,2020-07-20,4 wk ahead cum death,2020-08-15,12,point,,8929.20524560541
1730,2020-07-20,4 wk ahead inc case,2020-08-15,12,point,,228405.891609894
1731,2020-07-20,4 wk ahead inc death,2020-08-15,12,point,,1273.68743120377
1784,2020-07-20,1 wk ahead cum death,2020-07-25,13,point,,3280.96107795999
1785,2020-07-20,1 wk ahead inc case,2020-07-25,13,point,,26578.200582163197
1786,2020-07-20,1 wk ahead inc death,2020-07-25,13,point,,106.961077959989
1839,2020-07-20,2 wk ahead cum death,2020-08-01,13,point,,3405.72073468592
1840,2020-07-20,2 wk ahead inc case,2020-08-01,13,point,,37434.459254934
1841,2020-07-20,2 wk ahead inc death,2020-08-01,13,point,,124.759656725928
1894,2020-07-20,3 wk ahead cum death,2020-08-08,13,point,,3521.7315513285707
1895,2020-07-20,3 wk ahead inc case,2020-08-08,13,point,,46201.8624995282
1896,2020-07-20,3 wk ahead inc death,2020-08-08,13,point,,116.01081664265101
1949,2020-07-20,4 wk ahead cum death,2020-08-15,13,point,,3633.48354392525
1950,2020-07-20,4 wk ahead inc case,2020-08-15,13,point,,57343.8515848364
1951,2020-07-20,4 wk ahead inc death,2020-08-15,13,point,,111.75199259668001
2004,2020-07-20,1 wk ahead cum death,2020-07-25,17,point,,7693.821588121271
2005,2020-07-20,1 wk ahead inc case,2020-07-25,17,point,,5060.03768136361
2006,2020-07-20,1 wk ahead inc death,2020-07-25,17,point,,205.821588121273
2059,2020-07-20,2 wk ahead cum death,2020-08-01,17,point,,7840.4746004812905
2060,2020-07-20,2 wk ahead inc case,2020-08-01,17,point,,5506.459840906899
2061,2020-07-20,2 wk ahead inc death,2020-08-01,17,point,,146.653012360021
2114,2020-07-20,3 wk ahead cum death,2020-08-08,17,point,,7981.38776136443
2115,2020-07-20,3 wk ahead inc case,2020-08-08,17,point,,4667.21838206239
2116,2020-07-20,3 wk ahead inc death,2020-08-08,17,point,,140.913160883134
2169,2020-07-20,4 wk ahead cum death,2020-08-15,17,point,,8095.685823061171
2170,2020-07-20,4 wk ahead inc case,2020-08-15,17,point,,3988.4155553635205
2171,2020-07-20,4 wk ahead inc death,2020-08-15,17,point,,114.298061696747
2224,2020-07-20,1 wk ahead cum death,2020-07-25,18,point,,2872.8176122768105
2225,2020-07-20,1 wk ahead inc case,2020-07-25,18,point,,3625.05772003315
2226,2020-07-20,1 wk ahead inc death,2020-07-25,18,point,,50.8176122768123
2279,2020-07-20,2 wk ahead cum death,2020-08-01,18,point,,2921.2530449604997
2280,2020-07-20,2 wk ahead inc case,2020-08-01,18,point,,4502.26834073234
2281,2020-07-20,2 wk ahead inc death,2020-08-01,18,point,,48.4354326836851
2334,2020-07-20,3 wk ahead cum death,2020-08-08,18,point,,2962.94491492549
2335,2020-07-20,3 wk ahead inc case,2020-08-08,18,point,,4470.88153607024
2336,2020-07-20,3 wk ahead inc death,2020-08-08,18,point,,41.6918699649968
2389,2020-07-20,4 wk ahead cum death,2020-08-15,18,point,,2998.27200171248
2390,2020-07-20,4 wk ahead inc case,2020-08-15,18,point,,4458.45668620591
2391,2020-07-20,4 wk ahead inc death,2020-08-15,18,point,,35.327086786989604
2444,2020-07-20,1 wk ahead cum death,2020-07-25,19,point,,821.6256960559441
2445,2020-07-20,1 wk ahead inc case,2020-07-25,19,point,,2622.47215543172
2446,2020-07-20,1 wk ahead inc death,2020-07-25,19,point,,28.625696055944
2499,2020-07-20,2 wk ahead cum death,2020-08-01,19,point,,850.1014062506171
2500,2020-07-20,2 wk ahead inc case,2020-08-01,19,point,,3112.41470539755
2501,2020-07-20,2 wk ahead inc death,2020-08-01,19,point,,28.475710194672498
2554,2020-07-20,3 wk ahead cum death,2020-08-08,19,point,,874.360182474893
2555,2020-07-20,3 wk ahead inc case,2020-08-08,19,point,,3148.76989866938
2556,2020-07-20,3 wk ahead inc death,2020-08-08,19,point,,24.2587762242762
