,target_end_date,country,quantile,value,location,forecast_date,type,state,target
31417,2020-07-22,US,,20,26,2020-06-07,point,MI,45 day ahead inc death
31488,2020-07-11,US,,3643,12,2020-06-07,point,FL,34 day ahead cum death
31489,2020-07-11,US,,25,12,2020-06-07,point,FL,34 day ahead inc death
31490,2020-07-11,US,,3643,12,2020-06-07,point,FL,5 wk ahead cum death
31491,2020-07-11,US,,174,12,2020-06-07,point,FL,5 wk ahead inc death
31560,2020-07-08,US,,131,15,2020-06-07,point,HI,31 day ahead cum death
31561,2020-07-08,US,,10,15,2020-06-07,point,HI,31 day ahead inc death
31608,2020-06-24,US,,1825,51,2020-06-07,point,VA,17 day ahead cum death
31609,2020-06-24,US,,21,51,2020-06-07,point,VA,17 day ahead inc death
31656,2020-06-22,US,,498,35,2020-06-07,point,NM,15 day ahead cum death
31657,2020-06-22,US,,6,35,2020-06-07,point,NM,15 day ahead inc death
31704,2020-06-14,US,,482,32,2020-06-07,point,NV,7 day ahead cum death
31705,2020-06-14,US,,3,32,2020-06-07,point,NV,7 day ahead inc death
31752,2020-06-19,US,,260,54,2020-06-07,point,WV,12 day ahead cum death
31753,2020-06-19,US,,29,54,2020-06-07,point,WV,12 day ahead inc death
31800,2020-07-16,US,,1176,44,2020-06-07,point,RI,39 day ahead cum death
31801,2020-07-16,US,,6,44,2020-06-07,point,RI,39 day ahead inc death
31848,2020-07-13,US,,1488,28,2020-06-07,point,MS,36 day ahead cum death
31849,2020-07-13,US,,20,28,2020-06-07,point,MS,36 day ahead inc death
31896,2020-07-16,US,,6993,06,2020-06-07,point,CA,39 day ahead cum death
31897,2020-07-16,US,,60,06,2020-06-07,point,CA,39 day ahead inc death
31944,2020-06-17,US,,806,01,2020-06-07,point,AL,10 day ahead cum death
31945,2020-06-17,US,,12,01,2020-06-07,point,AL,10 day ahead inc death
31992,2020-07-08,US,,592,11,2020-06-07,point,DC,31 day ahead cum death
31993,2020-07-08,US,,1,11,2020-06-07,point,DC,31 day ahead inc death
32040,2020-06-19,US,,1007,29,2020-06-07,point,MO,12 day ahead cum death
32041,2020-06-19,US,,17,29,2020-06-07,point,MO,12 day ahead inc death
32088,2020-07-06,US,,691,21,2020-06-07,point,KY,29 day ahead cum death
32089,2020-07-06,US,,8,21,2020-06-07,point,KY,29 day ahead inc death
32136,2020-06-08,US,,1503,51,2020-06-07,point,VA,1 day ahead cum death
32137,2020-06-08,US,,24,51,2020-06-07,point,VA,1 day ahead inc death
32184,2020-06-15,US,,168,38,2020-06-07,point,ND,8 day ahead cum death
32185,2020-06-15,US,,18,38,2020-06-07,point,ND,8 day ahead inc death
32232,2020-07-23,US,,2084,08,2020-06-07,point,CO,46 day ahead cum death
32233,2020-07-23,US,,9,08,2020-06-07,point,CO,46 day ahead inc death
32280,2020-07-08,US,,83,16,2020-06-07,point,ID,31 day ahead cum death
32281,2020-07-08,US,,9,16,2020-06-07,point,ID,31 day ahead inc death
32328,2020-06-24,US,,413,40,2020-06-07,point,OK,17 day ahead cum death
32329,2020-06-24,US,,2,40,2020-06-07,point,OK,17 day ahead inc death
32376,2020-07-10,US,,8361,25,2020-06-07,point,MA,33 day ahead cum death
32377,2020-07-10,US,,17,25,2020-06-07,point,MA,33 day ahead inc death
32424,2020-07-20,US,,8619,42,2020-06-07,point,PA,43 day ahead cum death
32425,2020-07-20,US,,45,42,2020-06-07,point,PA,43 day ahead inc death
32472,2020-07-14,US,,3575,48,2020-06-07,point,TX,37 day ahead cum death
32473,2020-07-14,US,,62,48,2020-06-07,point,TX,37 day ahead inc death
32520,2020-06-30,US,,8157,25,2020-06-07,point,MA,23 day ahead cum death
32521,2020-06-30,US,,25,25,2020-06-07,point,MA,23 day ahead inc death
32568,2020-07-22,US,,2812,37,2020-06-07,point,NC,45 day ahead cum death
32569,2020-07-22,US,,62,37,2020-06-07,point,NC,45 day ahead inc death
32616,2020-07-01,US,,83,16,2020-06-07,point,ID,24 day ahead cum death
32617,2020-07-01,US,,2,16,2020-06-07,point,ID,24 day ahead inc death
32652,2020-07-12,US,,151506,US,2020-06-07,point,,35 day ahead cum death
32688,2020-07-14,US,,8424,25,2020-06-07,point,MA,37 day ahead cum death
32689,2020-07-14,US,,14,25,2020-06-07,point,MA,37 day ahead inc death
32760,2020-06-20,US,,394,33,2020-06-07,point,NH,13 day ahead cum death
32761,2020-06-20,US,,9,33,2020-06-07,point,NH,13 day ahead inc death
32762,2020-06-20,US,,394,33,2020-06-07,point,NH,2 wk ahead cum death
32763,2020-06-20,US,,59,33,2020-06-07,point,NH,2 wk ahead inc death
32832,2020-06-26,US,,5810,06,2020-06-07,point,CA,19 day ahead cum death
32833,2020-06-26,US,,66,06,2020-06-07,point,CA,19 day ahead inc death
32904,2020-07-18,US,,1140,19,2020-06-07,point,IA,41 day ahead cum death
32905,2020-07-18,US,,12,19,2020-06-07,point,IA,41 day ahead inc death
32906,2020-07-18,US,,1140,19,2020-06-07,point,IA,6 wk ahead cum death
32907,2020-07-18,US,,88,19,2020-06-07,point,IA,6 wk ahead inc death
32976,2020-07-02,US,,263,31,2020-06-07,point,NE,25 day ahead cum death
32977,2020-07-02,US,,2,31,2020-06-07,point,NE,25 day ahead inc death
33024,2020-06-18,US,,471,35,2020-06-07,point,NM,11 day ahead cum death
33025,2020-06-18,US,,6,35,2020-06-07,point,NM,11 day ahead inc death
33096,2020-06-13,US,,2901,22,2020-06-07,point,LA,6 day ahead cum death
33097,2020-06-13,US,,13,22,2020-06-07,point,LA,6 day ahead inc death
33098,2020-06-13,US,,2901,22,2020-06-07,point,LA,1 wk ahead cum death
33099,2020-06-13,US,,87,22,2020-06-07,point,LA,1 wk ahead inc death
33168,2020-06-16,US,,2977,12,2020-06-07,point,FL,9 day ahead cum death
33169,2020-06-16,US,,32,12,2020-06-07,point,FL,9 day ahead inc death
33240,2020-06-20,US,,1239,53,2020-06-07,point,WA,13 day ahead cum death
33241,2020-06-20,US,,5,53,2020-06-07,point,WA,13 day ahead inc death
33242,2020-06-20,US,,1239,53,2020-06-07,point,WA,2 wk ahead cum death
33243,2020-06-20,US,,40,53,2020-06-07,point,WA,2 wk ahead inc death
33312,2020-07-21,US,,2297,51,2020-06-07,point,VA,44 day ahead cum death
33313,2020-07-21,US,,15,51,2020-06-07,point,VA,44 day ahead inc death
33360,2020-06-10,US,,411,10,2020-06-07,point,DE,3 day ahead cum death
33361,2020-06-10,US,,5,10,2020-06-07,point,DE,3 day ahead inc death
33408,2020-07-23,US,,847,21,2020-06-07,point,KY,46 day ahead cum death
33409,2020-07-23,US,,9,21,2020-06-07,point,KY,46 day ahead inc death
33456,2020-07-17,US,,1566,28,2020-06-07,point,MS,40 day ahead cum death
33457,2020-07-17,US,,19,28,2020-06-07,point,MS,40 day ahead inc death
33492,2020-07-08,US,,144670,US,2020-06-07,point,,31 day ahead cum death
33528,2020-06-08,US,,66,46,2020-06-07,point,SD,1 day ahead cum death
33529,2020-06-08,US,,0,46,2020-06-07,point,SD,1 day ahead inc death
33576,2020-07-16,US,,2014,08,2020-06-07,point,CO,39 day ahead cum death
33577,2020-07-16,US,,9,08,2020-06-07,point,CO,39 day ahead inc death
33624,2020-06-29,US,,483,33,2020-06-07,point,NH,22 day ahead cum death
33625,2020-06-29,US,,10,33,2020-06-07,point,NH,22 day ahead inc death
33672,2020-07-07,US,,120,15,2020-06-07,point,HI,30 day ahead cum death
33673,2020-07-07,US,,9,15,2020-06-07,point,HI,30 day ahead inc death
33720,2020-06-29,US,,428,40,2020-06-07,point,OK,22 day ahead cum death
33721,2020-06-29,US,,2,40,2020-06-07,point,OK,22 day ahead inc death
33768,2020-06-07,US,,6027,42,2020-06-07,point,PA,0 day ahead cum death
33769,2020-06-07,US,,91,42,2020-06-07,point,PA,0 day ahead inc death
33816,2020-07-14,US,,584,32,2020-06-07,point,NV,37 day ahead cum death
33817,2020-07-14,US,,2,32,2020-06-07,point,NV,37 day ahead inc death
33864,2020-06-29,US,,169,41,2020-06-07,point,OR,22 day ahead cum death
33865,2020-06-29,US,,0,41,2020-06-07,point,OR,22 day ahead inc death
33912,2020-07-13,US,,1153,44,2020-06-07,point,RI,36 day ahead cum death
33913,2020-07-13,US,,7,44,2020-06-07,point,RI,36 day ahead inc death
33960,2020-07-17,US,,7051,06,2020-06-07,point,CA,40 day ahead cum death
33961,2020-07-17,US,,60,06,2020-06-07,point,CA,40 day ahead inc death
34032,2020-06-13,US,,427,10,2020-06-07,point,DE,6 day ahead cum death
34033,2020-06-13,US,,5,10,2020-06-07,point,DE,6 day ahead inc death
34034,2020-06-13,US,,427,10,2020-06-07,point,DE,1 wk ahead cum death
34035,2020-06-13,US,,37,10,2020-06-07,point,DE,1 wk ahead inc death
34104,2020-06-11,US,,163,05,2020-06-07,point,AR,4 day ahead cum death
34105,2020-06-11,US,,1,05,2020-06-07,point,AR,4 day ahead inc death
34152,2020-06-26,US,,1393,49,2020-06-07,point,UT,19 day ahead cum death
34153,2020-06-26,US,,185,49,2020-06-07,point,UT,19 day ahead inc death
34200,2020-07-08,US,,8325,25,2020-06-07,point,MA,31 day ahead cum death
34201,2020-07-08,US,,18,25,2020-06-07,point,MA,31 day ahead inc death
34248,2020-06-21,US,,754,49,2020-06-07,point,UT,14 day ahead cum death
34249,2020-06-21,US,,103,49,2020-06-07,point,UT,14 day ahead inc death
34296,2020-06-11,US,,1280,27,2020-06-07,point,MN,4 day ahead cum death
34297,2020-06-11,US,,25,27,2020-06-07,point,MN,4 day ahead inc death
34368,2020-06-13,US,,4172,09,2020-06-07,point,CT,6 day ahead cum death
34369,2020-06-13,US,,16,09,2020-06-07,point,CT,6 day ahead inc death
34370,2020-06-13,US,,4172,09,2020-06-07,point,CT,1 wk ahead cum death
34371,2020-06-13,US,,117,09,2020-06-07,point,CT,1 wk ahead inc death
34440,2020-06-14,US,,4186,09,2020-06-07,point,CT,7 day ahead cum death
34441,2020-06-14,US,,15,09,2020-06-07,point,CT,7 day ahead inc death
34488,2020-06-28,US,,614,38,2020-06-07,point,ND,21 day ahead cum death
34489,2020-06-28,US,,62,38,2020-06-07,point,ND,21 day ahead inc death
34536,2020-06-18,US,,532,11,2020-06-07,point,DC,11 day ahead cum death
34537,2020-06-18,US,,3,11,2020-06-07,point,DC,11 day ahead inc death
34584,2020-06-22,US,,4279,09,2020-06-07,point,CT,15 day ahead cum death
34585,2020-06-22,US,,10,09,2020-06-07,point,CT,15 day ahead inc death
34632,2020-07-09,US,,1023,19,2020-06-07,point,IA,32 day ahead cum death
34633,2020-07-09,US,,13,19,2020-06-07,point,IA,32 day ahead inc death
34680,2020-07-05,US,,570,47,2020-06-07,point,TN,28 day ahead cum death
34681,2020-07-05,US,,5,47,2020-06-07,point,TN,28 day ahead inc death
34728,2020-06-22,US,,7937,25,2020-06-07,point,MA,15 day ahead cum death
34729,2020-06-22,US,,35,25,2020-06-07,point,MA,15 day ahead inc death
34776,2020-06-29,US,,1028,44,2020-06-07,point,RI,22 day ahead cum death
34777,2020-06-29,US,,10,44,2020-06-07,point,RI,22 day ahead inc death
34824,2020-07-19,US,,7167,06,2020-06-07,point,CA,42 day ahead cum death
34825,2020-07-19,US,,59,06,2020-06-07,point,CA,42 day ahead inc death
34872,2020-06-25,US,,191,05,2020-06-07,point,AR,18 day ahead cum death
34873,2020-06-25,US,,1,05,2020-06-07,point,AR,18 day ahead inc death
34920,2020-06-07,US,,2145,18,2020-06-07,point,IN,0 day ahead cum death
34921,2020-06-07,US,,32,18,2020-06-07,point,IN,0 day ahead inc death
34968,2020-06-25,US,,3026,22,2020-06-07,point,LA,18 day ahead cum death
34969,2020-06-25,US,,9,22,2020-06-07,point,LA,18 day ahead inc death
35016,2020-06-17,US,,393,40,2020-06-07,point,OK,10 day ahead cum death
35017,2020-06-17,US,,2,40,2020-06-07,point,OK,10 day ahead inc death
35088,2020-07-11,US,,1137,01,2020-06-07,point,AL,34 day ahead cum death
35089,2020-07-11,US,,15,01,2020-06-07,point,AL,34 day ahead inc death
35090,2020-07-11,US,,1137,01,2020-06-07,point,AL,5 wk ahead cum death
35091,2020-07-11,US,,104,01,2020-06-07,point,AL,5 wk ahead inc death
35160,2020-06-09,US,,67,46,2020-06-07,point,SD,2 day ahead cum death
35161,2020-06-09,US,,0,46,2020-06-07,point,SD,2 day ahead inc death
35208,2020-06-07,US,,7352,25,2020-06-07,point,MA,0 day ahead cum death
35209,2020-06-07,US,,59,25,2020-06-07,point,MA,0 day ahead inc death
35256,2020-07-06,US,,1955,37,2020-06-07,point,NC,29 day ahead cum death
35257,2020-07-06,US,,46,37,2020-06-07,point,NC,29 day ahead inc death
35304,2020-07-13,US,,83,16,2020-06-07,point,ID,36 day ahead cum death
35305,2020-07-13,US,,20,16,2020-06-07,point,ID,36 day ahead inc death
35352,2020-06-12,US,,672,19,2020-06-07,point,IA,5 day ahead cum death
35353,2020-06-12,US,,14,19,2020-06-07,point,IA,5 day ahead inc death
35400,2020-06-29,US,,3428,39,2020-06-07,point,OH,22 day ahead cum death
35401,2020-06-29,US,,53,39,2020-06-07,point,OH,22 day ahead inc death
35472,2020-06-27,US,,7410,17,2020-06-07,point,IL,20 day ahead cum death
35473,2020-06-27,US,,76,17,2020-06-07,point,IL,20 day ahead inc death
35474,2020-06-27,US,,7410,17,2020-06-07,point,IL,3 wk ahead cum death
35475,2020-06-27,US,,495,17,2020-06-07,point,IL,3 wk ahead inc death
35544,2020-07-19,US,,316,31,2020-06-07,point,NE,42 day ahead cum death
35545,2020-07-19,US,,2,31,2020-06-07,point,NE,42 day ahead inc death
35592,2020-07-10,US,,608,33,2020-06-07,point,NH,33 day ahead cum death
35593,2020-07-10,US,,12,33,2020-06-07,point,NH,33 day ahead inc death
35640,2020-07-21,US,,988,55,2020-06-07,point,WI,44 day ahead cum death
35641,2020-07-21,US,,7,55,2020-06-07,point,WI,44 day ahead inc death
35688,2020-06-22,US,,342,38,2020-06-07,point,ND,15 day ahead cum death
35689,2020-06-22,US,,37,38,2020-06-07,point,ND,15 day ahead inc death
35760,2020-07-04,US,,1802,27,2020-06-07,point,MN,27 day ahead cum death
35761,2020-07-04,US,,24,27,2020-06-07,point,MN,27 day ahead inc death
35762,2020-07-04,US,,1802,27,2020-06-07,point,MN,4 wk ahead cum death
35763,2020-07-04,US,,156,27,2020-06-07,point,MN,4 wk ahead inc death
35832,2020-07-21,US,,1645,28,2020-06-07,point,MS,44 day ahead cum death
35833,2020-07-21,US,,19,28,2020-06-07,point,MS,44 day ahead inc death
35880,2020-06-07,US,,30168,36,2020-06-07,point,NY,0 day ahead cum death
35881,2020-06-07,US,,42,36,2020-06-07,point,NY,0 day ahead inc death
35928,2020-07-16,US,,780,21,2020-06-07,point,KY,39 day ahead cum death
35929,2020-07-16,US,,8,21,2020-06-07,point,KY,39 day ahead inc death
35976,2020-07-07,US,,3122,22,2020-06-07,point,LA,30 day ahead cum death
35977,2020-07-07,US,,6,22,2020-06-07,point,LA,30 day ahead inc death
36024,2020-06-24,US,,22,30,2020-06-07,point,MT,17 day ahead cum death
36025,2020-06-24,US,,0,30,2020-06-07,point,MT,17 day ahead inc death
36072,2020-07-01,US,,3077,22,2020-06-07,point,LA,24 day ahead cum death
36073,2020-07-01,US,,7,22,2020-06-07,point,LA,24 day ahead inc death
36120,2020-07-14,US,,13379,34,2020-06-07,point,NJ,37 day ahead cum death
36121,2020-07-14,US,,16,34,2020-06-07,point,NJ,37 day ahead inc death
36168,2020-07-09,US,,3593,12,2020-06-07,point,FL,32 day ahead cum death
36169,2020-07-09,US,,26,12,2020-06-07,point,FL,32 day ahead inc death
36216,2020-07-23,US,,465,15,2020-06-07,point,HI,46 day ahead cum death
36217,2020-07-23,US,,39,15,2020-06-07,point,HI,46 day ahead inc death
36264,2020-07-13,US,,3266,54,2020-06-07,point,WV,36 day ahead cum death
36265,2020-07-13,US,,235,54,2020-06-07,point,WV,36 day ahead inc death
36312,2020-07-03,US,,208,05,2020-06-07,point,AR,26 day ahead cum death
36313,2020-07-03,US,,1,05,2020-06-07,point,AR,26 day ahead inc death
36360,2020-07-08,US,,170,41,2020-06-07,point,OR,31 day ahead cum death
36361,2020-07-08,US,,0,41,2020-06-07,point,OR,31 day ahead inc death
36408,2020-06-29,US,,808,54,2020-06-07,point,WV,22 day ahead cum death
36409,2020-06-29,US,,94,54,2020-06-07,point,WV,22 day ahead inc death
36456,2020-06-09,US,,304,33,2020-06-07,point,NH,2 day ahead cum death
36457,2020-06-09,US,,7,33,2020-06-07,point,NH,2 day ahead inc death
36504,2020-06-19,US,,478,35,2020-06-07,point,NM,12 day ahead cum death
36505,2020-06-19,US,,6,35,2020-06-07,point,NM,12 day ahead inc death
36552,2020-06-10,US,,495,21,2020-06-07,point,KY,3 day ahead cum death
36553,2020-06-10,US,,6,21,2020-06-07,point,KY,3 day ahead inc death
36600,2020-07-23,US,,498,40,2020-06-07,point,OK,46 day ahead cum death
36601,2020-07-23,US,,3,40,2020-06-07,point,OK,46 day ahead inc death
36648,2020-07-20,US,,2281,51,2020-06-07,point,VA,43 day ahead cum death
36649,2020-07-20,US,,15,51,2020-06-07,point,VA,43 day ahead inc death
36696,2020-07-02,US,,7754,17,2020-06-07,point,IL,25 day ahead cum death
36697,2020-07-02,US,,71,17,2020-06-07,point,IL,25 day ahead inc death
36744,2020-06-25,US,,7270,17,2020-06-07,point,IL,18 day ahead cum death
36745,2020-06-25,US,,78,17,2020-06-07,point,IL,18 day ahead inc death
36792,2020-06-23,US,,967,49,2020-06-07,point,UT,16 day ahead cum death
36793,2020-06-23,US,,132,49,2020-06-07,point,UT,16 day ahead inc death
36840,2020-07-02,US,,7698,42,2020-06-07,point,PA,25 day ahead cum death
36841,2020-07-02,US,,63,42,2020-06-07,point,PA,25 day ahead inc death
36888,2020-07-17,US,,8466,25,2020-06-07,point,MA,40 day ahead cum death
36889,2020-07-17,US,,13,25,2020-06-07,point,MA,40 day ahead inc death
36936,2020-06-16,US,,461,47,2020-06-07,point,TN,9 day ahead cum death
36937,2020-06-16,US,,5,47,2020-06-07,point,TN,9 day ahead inc death
36984,2020-06-30,US,,431,40,2020-06-07,point,OK,23 day ahead cum death
36985,2020-06-30,US,,2,40,2020-06-07,point,OK,23 day ahead inc death
37032,2020-07-16,US,,2099,38,2020-06-07,point,ND,39 day ahead cum death
37033,2020-07-16,US,,87,38,2020-06-07,point,ND,39 day ahead inc death
37080,2020-07-07,US,,1919,54,2020-06-07,point,WV,30 day ahead cum death
37081,2020-07-07,US,,188,54,2020-06-07,point,WV,30 day ahead inc death
37128,2020-07-01,US,,1734,27,2020-06-07,point,MN,24 day ahead cum death
37129,2020-07-01,US,,24,27,2020-06-07,point,MN,24 day ahead inc death
37200,2020-07-11,US,,6855,26,2020-06-07,point,MI,34 day ahead cum death
