,forecast_date,target,target_end_date,location,location_name,type,quantile,value,Unnamed: 0
1916,2020-05-09,13 day ahead inc death,2020-05-22,2,Alaska,point,,0.4915789867584693,
1917,2020-05-09,14 day ahead inc death,2020-05-23,2,Alaska,point,,0.4779862669687375,
1918,2020-05-09,1 day ahead inc hosp,2020-05-10,2,Alaska,point,,2.9296964392294162,
1919,2020-05-09,2 day ahead inc hosp,2020-05-11,2,Alaska,point,,2.850756238617909,
1920,2020-05-09,3 day ahead inc hosp,2020-05-12,2,Alaska,point,,2.773597684895755,
1921,2020-05-09,4 day ahead inc hosp,2020-05-13,2,Alaska,point,,2.6982213447868366,
1922,2020-05-09,5 day ahead inc hosp,2020-05-14,2,Alaska,point,,2.6246235612655457,
1923,2020-05-09,6 day ahead inc hosp,2020-05-15,2,Alaska,point,,2.5527986578118904,
1924,2020-05-09,7 day ahead inc hosp,2020-05-16,2,Alaska,point,,2.4827444647536243,
1925,2020-05-09,8 day ahead inc hosp,2020-05-17,2,Alaska,point,,2.414436643491217,
1926,2020-05-09,9 day ahead inc hosp,2020-05-18,2,Alaska,point,,2.3478307849835973,
1927,2020-05-09,10 day ahead inc hosp,2020-05-19,2,Alaska,point,,2.2829079236122443,
1928,2020-05-09,11 day ahead inc hosp,2020-05-20,2,Alaska,point,,2.2196476294088123,
1929,2020-05-09,12 day ahead inc hosp,2020-05-21,2,Alaska,point,,2.158005883113149,
1930,2020-05-09,13 day ahead inc hosp,2020-05-22,2,Alaska,point,,2.0979619278864203,
1931,2020-05-09,14 day ahead inc hosp,2020-05-23,2,Alaska,point,,2.0394993927975125,
2856,2020-05-09,1 day ahead cum death,2020-05-10,4,Arizona,point,,661.6449662600977,
2857,2020-05-09,2 day ahead cum death,2020-05-11,4,Arizona,point,,687.1433010020016,
2858,2020-05-09,3 day ahead cum death,2020-05-12,4,Arizona,point,,713.1268163394853,
2859,2020-05-09,4 day ahead cum death,2020-05-13,4,Arizona,point,,739.5941064994657,
2860,2020-05-09,5 day ahead cum death,2020-05-14,4,Arizona,point,,766.5451714819432,
2861,2020-05-09,6 day ahead cum death,2020-05-15,4,Arizona,point,,793.9827851669705,
2862,2020-05-09,7 day ahead cum death,2020-05-16,4,Arizona,point,,821.9416448825688,
2863,2020-05-09,8 day ahead cum death,2020-05-17,4,Arizona,point,,850.4083519925134,
2864,2020-05-09,9 day ahead cum death,2020-05-18,4,Arizona,point,,879.3742346855777,
2865,2020-05-09,10 day ahead cum death,2020-05-19,4,Arizona,point,,908.8392929617613,
2866,2020-05-09,11 day ahead cum death,2020-05-20,4,Arizona,point,,938.8035268210648,
2867,2020-05-09,12 day ahead cum death,2020-05-21,4,Arizona,point,,969.2347765582317,
2868,2020-05-09,13 day ahead cum death,2020-05-22,4,Arizona,point,,1000.2439625039797,
2869,2020-05-09,14 day ahead cum death,2020-05-23,4,Arizona,point,,1031.7858460683753,
2870,2020-05-09,1 day ahead inc death,2020-05-10,4,Arizona,point,,25.006868858494396,
2871,2020-05-09,2 day ahead inc death,2020-05-11,4,Arizona,point,,25.49833474190381,
2872,2020-05-09,3 day ahead inc death,2020-05-12,4,Arizona,point,,25.983515337483592,
2873,2020-05-09,4 day ahead inc death,2020-05-13,4,Arizona,point,,26.46729015998052,
2874,2020-05-09,5 day ahead inc death,2020-05-14,4,Arizona,point,,26.951064982477522,
2875,2020-05-09,6 day ahead inc death,2020-05-15,4,Arizona,point,,27.437613685027234,
2876,2020-05-09,7 day ahead inc death,2020-05-16,4,Arizona,point,,27.958859715598283,
2877,2020-05-09,8 day ahead inc death,2020-05-17,4,Arizona,point,,28.466707109944586,
2878,2020-05-09,9 day ahead inc death,2020-05-18,4,Arizona,point,,28.96588269306417,
2879,2020-05-09,10 day ahead inc death,2020-05-19,4,Arizona,point,,29.46505827618383,
2880,2020-05-09,11 day ahead inc death,2020-05-20,4,Arizona,point,,29.96423385930355,
2881,2020-05-09,12 day ahead inc death,2020-05-21,4,Arizona,point,,30.431249737166524,
2882,2020-05-09,13 day ahead inc death,2020-05-22,4,Arizona,point,,31.00918594574819,
2883,2020-05-09,14 day ahead inc death,2020-05-23,4,Arizona,point,,31.541883564395572,
2884,2020-05-09,1 day ahead inc hosp,2020-05-10,4,Arizona,point,,115.5611795222456,
2885,2020-05-09,2 day ahead inc hosp,2020-05-11,4,Arizona,point,,117.7337782197126,
2886,2020-05-09,3 day ahead inc hosp,2020-05-12,4,Arizona,point,,119.92435483918487,
2887,2020-05-09,4 day ahead inc hosp,2020-05-13,4,Arizona,point,,122.13339134807232,
2888,2020-05-09,5 day ahead inc hosp,2020-05-14,4,Arizona,point,,124.3608877463748,
2889,2020-05-09,6 day ahead inc hosp,2020-05-15,4,Arizona,point,,126.60616930387259,
2890,2020-05-09,7 day ahead inc hosp,2020-05-16,4,Arizona,point,,128.86079609694414,
2891,2020-05-09,8 day ahead inc hosp,2020-05-17,4,Arizona,point,,131.1280272660703,
2892,2020-05-09,9 day ahead inc hosp,2020-05-18,4,Arizona,point,,133.40997217899226,
2893,2020-05-09,10 day ahead inc hosp,2020-05-19,4,Arizona,point,,135.70663083571105,
2894,2020-05-09,11 day ahead inc hosp,2020-05-20,4,Arizona,point,,138.01800323622558,
2895,2020-05-09,12 day ahead inc hosp,2020-05-21,4,Arizona,point,,140.35663016047562,
2896,2020-05-09,13 day ahead inc hosp,2020-05-22,4,Arizona,point,,142.67925787067745,
2897,2020-05-09,14 day ahead inc hosp,2020-05-23,4,Arizona,point,,145.00352729968972,
3822,2020-05-09,1 day ahead cum death,2020-05-10,5,Arkansas,point,,114.0673426471637,
3823,2020-05-09,2 day ahead cum death,2020-05-11,5,Arkansas,point,,117.0446423522455,
3824,2020-05-09,3 day ahead cum death,2020-05-12,5,Arkansas,point,,120.03066963364529,
3825,2020-05-09,4 day ahead cum death,2020-05-13,5,Arkansas,point,,123.02513181625037,
3826,2020-05-09,5 day ahead cum death,2020-05-14,5,Arkansas,point,,126.02796669910721,
