,forecast_date,target,target_end_date,location,type,quantile,value
13,2020-04-19,6 day ahead inc death,2020-04-25,US,point,,5095
14,2020-04-19,7 day ahead cum death,2020-04-26,US,point,,72084
15,2020-04-19,7 day ahead inc death,2020-04-26,US,point,,5475
0,2020-04-26,1 day ahead cum death,2020-04-27,US,point,,56923
1,2020-04-26,1 day ahead inc death,2020-04-27,US,point,,2042
2,2020-04-26,1 wk ahead cum death,2020-05-02,US,point,,66837
3,2020-04-26,1 wk ahead inc death,2020-05-02,US,point,,1908
4,2020-04-26,2 day ahead cum death,2020-04-28,US,point,,58951
5,2020-04-26,2 day ahead inc death,2020-04-28,US,point,,2027
6,2020-04-26,3 day ahead cum death,2020-04-29,US,point,,60972
7,2020-04-26,3 day ahead inc death,2020-04-29,US,point,,2015
8,2020-04-26,4 day ahead cum death,2020-04-30,US,point,,62971
9,2020-04-26,4 day ahead inc death,2020-04-30,US,point,,1992
10,2020-04-26,5 day ahead cum death,2020-05-01,US,point,,64928
11,2020-04-26,5 day ahead inc death,2020-05-01,US,point,,1950
12,2020-04-26,6 day ahead cum death,2020-05-02,US,point,,66837
13,2020-04-26,6 day ahead inc death,2020-05-02,US,point,,1908
14,2020-04-26,7 day ahead cum death,2020-05-03,US,point,,68739
15,2020-04-26,7 day ahead inc death,2020-05-03,US,point,,1904
0,2020-05-03,1 day ahead cum death,2020-05-04,US,point,,69636
1,2020-05-03,1 day ahead inc death,2020-05-04,US,point,,1954
2,2020-05-03,1 wk ahead cum death,2020-05-09,US,point,,79511
3,2020-05-03,1 wk ahead inc death,2020-05-09,US,point,,1985
4,2020-05-03,2 day ahead cum death,2020-05-05,US,point,,71596
5,2020-05-03,2 day ahead inc death,2020-05-05,US,point,,1968
6,2020-05-03,3 day ahead cum death,2020-05-06,US,point,,73564
7,2020-05-03,3 day ahead inc death,2020-05-06,US,point,,1968
8,2020-05-03,4 day ahead cum death,2020-05-07,US,point,,75539
9,2020-05-03,4 day ahead inc death,2020-05-07,US,point,,1969
10,2020-05-03,5 day ahead cum death,2020-05-08,US,point,,77521
11,2020-05-03,5 day ahead inc death,2020-05-08,US,point,,1976
12,2020-05-03,6 day ahead cum death,2020-05-09,US,point,,79511
13,2020-05-03,6 day ahead inc death,2020-05-09,US,point,,1985
14,2020-05-03,7 day ahead cum death,2020-05-10,US,point,,81507
15,2020-05-03,7 day ahead inc death,2020-05-10,US,point,,1993
0,2020-05-10,1 day ahead cum death,2020-05-11,US,point,,81491
1,2020-05-10,1 day ahead inc death,2020-05-11,US,point,,1965
2,2020-05-10,1 wk ahead cum death,2020-05-16,US,point,,91528
3,2020-05-10,1 wk ahead inc death,2020-05-16,US,point,,14809
4,2020-05-10,2 day ahead cum death,2020-05-12,US,point,,83476
5,2020-05-10,2 day ahead inc death,2020-05-12,US,point,,1954
6,2020-05-10,3 day ahead cum death,2020-05-13,US,point,,85460
7,2020-05-10,3 day ahead inc death,2020-05-13,US,point,,1963
8,2020-05-10,4 day ahead cum death,2020-05-14,US,point,,87456
9,2020-05-10,4 day ahead inc death,2020-05-14,US,point,,1990
10,2020-05-10,5 day ahead cum death,2020-05-15,US,point,,89477
11,2020-05-10,5 day ahead inc death,2020-05-15,US,point,,2017
12,2020-05-10,6 day ahead cum death,2020-05-16,US,point,,91528
13,2020-05-10,6 day ahead inc death,2020-05-16,US,point,,2044
14,2020-05-10,7 day ahead cum death,2020-05-17,US,point,,93604
15,2020-05-10,7 day ahead inc death,2020-05-17,US,point,,2075
0,2020-05-17,1 day ahead cum death,2020-05-18,US,point,,91033
1,2020-05-17,1 day ahead inc death,2020-05-18,US,point,,1471
2,2020-05-17,1 wk ahead cum death,2020-05-23,US,point,,98076
3,2020-05-17,1 wk ahead inc death,2020-05-23,US,point,,10665
4,2020-05-17,2 day ahead cum death,2020-05-19,US,point,,92482
5,2020-05-17,2 day ahead inc death,2020-05-19,US,point,,1451
6,2020-05-17,3 day ahead cum death,2020-05-20,US,point,,93910
7,2020-05-17,3 day ahead inc death,2020-05-20,US,point,,1431
8,2020-05-17,4 day ahead cum death,2020-05-21,US,point,,95319
9,2020-05-17,4 day ahead inc death,2020-05-21,US,point,,1411
10,2020-05-17,5 day ahead cum death,2020-05-22,US,point,,96704
11,2020-05-17,5 day ahead inc death,2020-05-22,US,point,,1387
12,2020-05-17,6 day ahead cum death,2020-05-23,US,point,,98076
13,2020-05-17,6 day ahead inc death,2020-05-23,US,point,,1370
14,2020-05-17,7 day ahead cum death,2020-05-24,US,point,,99419
15,2020-05-17,7 day ahead inc death,2020-05-24,US,point,,1350
0,2020-05-24,1 day ahead cum death,2020-05-25,US,point,,98941
1,2020-05-24,1 day ahead inc death,2020-05-25,US,point,,1221
2,2020-05-24,1 wk ahead cum death,2020-05-30,US,point,,104662
3,2020-05-24,1 wk ahead inc death,2020-05-30,US,point,,8725
4,2020-05-24,2 day ahead cum death,2020-05-26,US,point,,100130
5,2020-05-24,2 day ahead inc death,2020-05-26,US,point,,1202
6,2020-05-24,3 day ahead cum death,2020-05-27,US,point,,101289
7,2020-05-24,3 day ahead inc death,2020-05-27,US,point,,1175
8,2020-05-24,4 day ahead cum death,2020-05-28,US,point,,102420
9,2020-05-24,4 day ahead inc death,2020-05-28,US,point,,1150
10,2020-05-24,5 day ahead cum death,2020-05-29,US,point,,103537
11,2020-05-24,5 day ahead inc death,2020-05-29,US,point,,1137
12,2020-05-24,6 day ahead cum death,2020-05-30,US,point,,104662
13,2020-05-24,6 day ahead inc death,2020-05-30,US,point,,1143
14,2020-05-24,7 day ahead cum death,2020-05-31,US,point,,105812
15,2020-05-24,7 day ahead inc death,2020-05-31,US,point,,1157
0,2020-05-31,1 day ahead cum death,2020-06-01,US,point,,105428
1,2020-05-31,1 day ahead inc death,2020-06-01,US,point,,1047
2,2020-05-31,1 wk ahead cum death,2020-06-06,US,point,,110631
3,2020-05-31,1 wk ahead inc death,2020-06-06,US,point,,7892
4,2020-05-31,2 day ahead cum death,2020-06-02,US,point,,106470
5,2020-05-31,2 day ahead inc death,2020-06-02,US,point,,1045
6,2020-05-31,3 day ahead cum death,2020-06-03,US,point,,107512
7,2020-05-31,3 day ahead inc death,2020-06-03,US,point,,1041
8,2020-05-31,4 day ahead cum death,2020-06-04,US,point,,108554
9,2020-05-31,4 day ahead inc death,2020-06-04,US,point,,1042
10,2020-05-31,5 day ahead cum death,2020-06-05,US,point,,109593
11,2020-05-31,5 day ahead inc death,2020-06-05,US,point,,1041
12,2020-05-31,6 day ahead cum death,2020-06-06,US,point,,110631
13,2020-05-31,6 day ahead inc death,2020-06-06,US,point,,1038
14,2020-05-31,7 day ahead cum death,2020-06-07,US,point,,111668
15,2020-05-31,7 day ahead inc death,2020-06-07,US,point,,1038
0,2020-06-07,1 day ahead cum death,2020-06-08,US,point,,111403
1,2020-06-07,1 day ahead inc death,2020-06-08,US,point,,889
2,2020-06-07,1 wk ahead cum death,2020-06-13,US,point,,115708
3,2020-06-07,1 wk ahead inc death,2020-06-13,US,point,,6772
4,2020-06-07,2 day ahead cum death,2020-06-09,US,point,,112275
5,2020-06-07,2 day ahead inc death,2020-06-09,US,point,,885
6,2020-06-07,3 day ahead cum death,2020-06-10,US,point,,113142
7,2020-06-07,3 day ahead inc death,2020-06-10,US,point,,877
8,2020-06-07,4 day ahead cum death,2020-06-11,US,point,,114004
9,2020-06-07,4 day ahead inc death,2020-06-11,US,point,,865
10,2020-06-07,5 day ahead cum death,2020-06-12,US,point,,114856
11,2020-06-07,5 day ahead inc death,2020-06-12,US,point,,853
12,2020-06-07,6 day ahead cum death,2020-06-13,US,point,,115708
13,2020-06-07,6 day ahead inc death,2020-06-13,US,point,,853
14,2020-06-07,7 day ahead cum death,2020-06-14,US,point,,116574
15,2020-06-07,7 day ahead inc death,2020-06-14,US,point,,866
0,2020-06-14,1 day ahead cum death,2020-06-15,US,point,,116571
1,2020-06-14,1 day ahead inc death,2020-06-15,US,point,,839
2,2020-06-14,1 wk ahead cum death,2020-06-20,US,point,,120630
3,2020-06-14,1 wk ahead inc death,2020-06-20,US,point,,6012
4,2020-06-14,2 day ahead cum death,2020-06-16,US,point,,117399
5,2020-06-14,2 day ahead inc death,2020-06-16,US,point,,840
6,2020-06-14,3 day ahead cum death,2020-06-17,US,point,,118217
7,2020-06-14,3 day ahead inc death,2020-06-17,US,point,,833
8,2020-06-14,4 day ahead cum death,2020-06-18,US,point,,119025
9,2020-06-14,4 day ahead inc death,2020-06-18,US,point,,825
10,2020-06-14,5 day ahead cum death,2020-06-19,US,point,,119826
11,2020-06-14,5 day ahead inc death,2020-06-19,US,point,,820
12,2020-06-14,6 day ahead cum death,2020-06-20,US,point,,120630
13,2020-06-14,6 day ahead inc death,2020-06-20,US,point,,823
14,2020-06-14,7 day ahead cum death,2020-06-21,US,point,,121448
15,2020-06-14,7 day ahead inc death,2020-06-21,US,point,,838
