,location,target,type,quantile,forecast_date,target_end_date,value
79,46,1 wk ahead inc death,point,,2020-04-13,2020-04-18,3.5419508210329065
80,47,1 wk ahead inc death,point,,2020-04-13,2020-04-18,52.46965411150461
81,48,1 wk ahead inc death,point,,2020-04-13,2020-04-18,408.97018734594184
82,49,1 wk ahead inc death,point,,2020-04-13,2020-04-18,52.84208350634367
83,51,1 wk ahead inc death,point,,2020-04-13,2020-04-18,147.1565401126931
84,50,1 wk ahead inc death,point,,2020-04-13,2020-04-18,5.523621878927934
85,53,1 wk ahead inc death,point,,2020-04-13,2020-04-18,208.504390443232
86,55,1 wk ahead inc death,point,,2020-04-13,2020-04-18,46.5519023387874
87,54,1 wk ahead inc death,point,,2020-04-13,2020-04-18,3.224411655517748
88,56,1 wk ahead inc death,point,,2020-04-13,2020-04-18,3.331668445872958
89,US,1 wk ahead inc death,point,,2020-04-13,2020-04-18,9671.07402595
90,01,2 wk ahead cum death,point,,2020-04-13,2020-04-25,71.82206014865048
91,05,2 wk ahead cum death,point,,2020-04-13,2020-04-25,39.65793620818893
92,04,2 wk ahead cum death,point,,2020-04-13,2020-04-25,589.8589800446036
93,06,2 wk ahead cum death,point,,2020-04-13,2020-04-25,1776.0734767382148
94,08,2 wk ahead cum death,point,,2020-04-13,2020-04-25,575.8545143017708
95,09,2 wk ahead cum death,point,,2020-04-13,2020-04-25,914.9617489327313
96,10,2 wk ahead cum death,point,,2020-04-13,2020-04-25,67.61858262407817
97,12,2 wk ahead cum death,point,,2020-04-13,2020-04-25,2215.5835043184243
98,19,2 wk ahead cum death,point,,2020-04-13,2020-04-25,96.85119488594731
99,16,2 wk ahead cum death,point,,2020-04-13,2020-04-25,76.2400760456751
100,17,2 wk ahead cum death,point,,2020-04-13,2020-04-25,1205.2705714047775
101,18,2 wk ahead cum death,point,,2020-04-13,2020-04-25,282.82442298283695
102,20,2 wk ahead cum death,point,,2020-04-13,2020-04-25,140.3571363635441
103,25,2 wk ahead cum death,point,,2020-04-13,2020-04-25,1426.4910984443084
104,24,2 wk ahead cum death,point,,2020-04-13,2020-04-25,781.0425085874664
105,23,2 wk ahead cum death,point,,2020-04-13,2020-04-25,51.34980087249794
106,26,2 wk ahead cum death,point,,2020-04-13,2020-04-25,3041.2887033847637
107,27,2 wk ahead cum death,point,,2020-04-13,2020-04-25,333.022761959165
108,29,2 wk ahead cum death,point,,2020-04-13,2020-04-25,221.3139577135508
109,30,2 wk ahead cum death,point,,2020-04-13,2020-04-25,46.45204946369842
110,37,2 wk ahead cum death,point,,2020-04-13,2020-04-25,360.456079921978
111,38,2 wk ahead cum death,point,,2020-04-13,2020-04-25,18.23729718241832
112,31,2 wk ahead cum death,point,,2020-04-13,2020-04-25,50.634723709896726
113,33,2 wk ahead cum death,point,,2020-04-13,2020-04-25,165.8926354890599
114,34,2 wk ahead cum death,point,,2020-04-13,2020-04-25,1166.9586477673936
115,35,2 wk ahead cum death,point,,2020-04-13,2020-04-25,88.49697551532537
116,32,2 wk ahead cum death,point,,2020-04-13,2020-04-25,399.11430516734947
117,36,2 wk ahead cum death,point,,2020-04-13,2020-04-25,16287.97919696472
118,39,2 wk ahead cum death,point,,2020-04-13,2020-04-25,508.47650917990114
119,40,2 wk ahead cum death,point,,2020-04-13,2020-04-25,104.22875095930056
120,41,2 wk ahead cum death,point,,2020-04-13,2020-04-25,254.21695804835872
121,42,2 wk ahead cum death,point,,2020-04-13,2020-04-25,567.3967638544901
122,44,2 wk ahead cum death,point,,2020-04-13,2020-04-25,40.63384474495797
123,45,2 wk ahead cum death,point,,2020-04-13,2020-04-25,153.09444415578182
124,46,2 wk ahead cum death,point,,2020-04-13,2020-04-25,14.699122350916955
125,47,2 wk ahead cum death,point,,2020-04-13,2020-04-25,223.64933777999718
126,48,2 wk ahead cum death,point,,2020-04-13,2020-04-25,1761.2474290425912
127,49,2 wk ahead cum death,point,,2020-04-13,2020-04-25,229.30083114653988
128,51,2 wk ahead cum death,point,,2020-04-13,2020-04-25,642.3719985515462
129,50,2 wk ahead cum death,point,,2020-04-13,2020-04-25,21.664908769478522
130,53,2 wk ahead cum death,point,,2020-04-13,2020-04-25,938.928036942835
131,55,2 wk ahead cum death,point,,2020-04-13,2020-04-25,198.713943242368
132,54,2 wk ahead cum death,point,,2020-04-13,2020-04-25,13.497573271187795
133,56,2 wk ahead cum death,point,,2020-04-13,2020-04-25,15.210393524548845
134,US,2 wk ahead cum death,point,,2020-04-13,2020-04-25,46548.12431585
135,01,2 wk ahead inc death,point,,2020-04-13,2020-04-25,17.077838608990888
136,05,2 wk ahead inc death,point,,2020-04-13,2020-04-25,9.544597215724526
137,04,2 wk ahead inc death,point,,2020-04-13,2020-04-25,133.96280681965274
138,06,2 wk ahead inc death,point,,2020-04-13,2020-04-25,374.9842363923218
139,08,2 wk ahead inc death,point,,2020-04-13,2020-04-25,115.60418512712627
140,09,2 wk ahead inc death,point,,2020-04-13,2020-04-25,181.0750935029507
141,10,2 wk ahead inc death,point,,2020-04-13,2020-04-25,14.767295060182915
142,12,2 wk ahead inc death,point,,2020-04-13,2020-04-25,491.59974981314537
143,19,2 wk ahead inc death,point,,2020-04-13,2020-04-25,21.734597449174032
144,16,2 wk ahead inc death,point,,2020-04-13,2020-04-25,16.341196792417847
145,17,2 wk ahead inc death,point,,2020-04-13,2020-04-25,263.61572656032797
146,18,2 wk ahead inc death,point,,2020-04-13,2020-04-25,63.33170506415139
147,20,2 wk ahead inc death,point,,2020-04-13,2020-04-25,30.246336990270148
148,25,2 wk ahead inc death,point,,2020-04-13,2020-04-25,277.9192632639972
149,24,2 wk ahead inc death,point,,2020-04-13,2020-04-25,171.20465463777768
150,23,2 wk ahead inc death,point,,2020-04-13,2020-04-25,11.456939618629267
151,26,2 wk ahead inc death,point,,2020-04-13,2020-04-25,541.2122154604956
152,27,2 wk ahead inc death,point,,2020-04-13,2020-04-25,73.02344749648479
153,29,2 wk ahead inc death,point,,2020-04-13,2020-04-25,49.29547254537686
154,30,2 wk ahead inc death,point,,2020-04-13,2020-04-25,10.645796446854963
155,37,2 wk ahead inc death,point,,2020-04-13,2020-04-25,83.24940174283164
156,38,2 wk ahead inc death,point,,2020-04-13,2020-04-25,4.183386384747612
157,31,2 wk ahead inc death,point,,2020-04-13,2020-04-25,11.07920056268886
158,33,2 wk ahead inc death,point,,2020-04-13,2020-04-25,36.620815235365775
159,34,2 wk ahead inc death,point,,2020-04-13,2020-04-25,254.30610124873456
160,35,2 wk ahead inc death,point,,2020-04-13,2020-04-25,19.813565935041645
161,32,2 wk ahead inc death,point,,2020-04-13,2020-04-25,84.55744695303919
162,36,2 wk ahead inc death,point,,2020-04-13,2020-04-25,2514.9590537794893
163,39,2 wk ahead inc death,point,,2020-04-13,2020-04-25,115.80102776169056
164,40,2 wk ahead inc death,point,,2020-04-13,2020-04-25,22.954797633051854
165,41,2 wk ahead inc death,point,,2020-04-13,2020-04-25,56.60423948840341
166,42,2 wk ahead inc death,point,,2020-04-13,2020-04-25,128.80823902569128
167,44,2 wk ahead inc death,point,,2020-04-13,2020-04-25,9.530571044658046
168,45,2 wk ahead inc death,point,,2020-04-13,2020-04-25,35.32777751335888
169,46,2 wk ahead inc death,point,,2020-04-13,2020-04-25,3.502606775449581
170,47,2 wk ahead inc death,point,,2020-04-13,2020-04-25,52.41105935265664
171,48,2 wk ahead inc death,point,,2020-04-13,2020-04-25,385.8421439057623
172,49,2 wk ahead inc death,point,,2020-04-13,2020-04-25,51.110012590022315
173,51,2 wk ahead inc death,point,,2020-04-13,2020-04-25,140.15290238618562
174,50,2 wk ahead inc death,point,,2020-04-13,2020-04-25,5.46030794160653
175,53,2 wk ahead inc death,point,,2020-04-13,2020-04-25,197.598723577509
176,55,2 wk ahead inc death,point,,2020-04-13,2020-04-25,44.049239247038
177,54,2 wk ahead inc death,point,,2020-04-13,2020-04-25,3.2621165985319704
178,56,2 wk ahead inc death,point,,2020-04-13,2020-04-25,3.0678635830799084
179,US,2 wk ahead inc death,point,,2020-04-13,2020-04-25,8286.57110695
0,01,1 wk ahead cum death,point,,2020-04-20,2020-04-25,361.6918962796661
1,05,1 wk ahead cum death,point,,2020-04-20,2020-04-25,89.6425533067127
2,04,1 wk ahead cum death,point,,2020-04-20,2020-04-25,311.0260335734688
3,06,1 wk ahead cum death,point,,2020-04-20,2020-04-25,1500.1141535390698
4,08,1 wk ahead cum death,point,,2020-04-20,2020-04-25,625.4850181637217
5,09,1 wk ahead cum death,point,,2020-04-20,2020-04-25,1318.3938092720039
6,10,1 wk ahead cum death,point,,2020-04-20,2020-04-25,77.09031731869504
7,12,1 wk ahead cum death,point,,2020-04-20,2020-04-25,1693.3242255001223
8,19,1 wk ahead cum death,point,,2020-04-20,2020-04-25,95.32885672872852
9,16,1 wk ahead cum death,point,,2020-04-20,2020-04-25,65.97268313399455
10,17,1 wk ahead cum death,point,,2020-04-20,2020-04-25,1956.0432294638288
