location,target,type,quantile,forecast_date,target_end_date,value
09,5 wk ahead inc death,point,,2020-04-20,2020-05-23,0.0
09,6 wk ahead inc death,point,,2020-04-20,2020-05-30,0.0
09,1 wk ahead cum death,point,,2020-04-20,2020-04-25,1543.142857
09,2 wk ahead cum death,point,,2020-04-20,2020-05-02,1833.9285710000001
09,3 wk ahead cum death,point,,2020-04-20,2020-05-09,1925.285714
09,4 wk ahead cum death,point,,2020-04-20,2020-05-16,1941.5
09,5 wk ahead cum death,point,,2020-04-20,2020-05-23,1944.4285710000001
09,6 wk ahead cum death,point,,2020-04-20,2020-05-30,1944.714286
10,1 wk ahead inc death,point,,2020-04-20,2020-04-25,5.285714286
10,2 wk ahead inc death,point,,2020-04-20,2020-05-02,4.428571429
10,3 wk ahead inc death,point,,2020-04-20,2020-05-09,2.285714286
10,4 wk ahead inc death,point,,2020-04-20,2020-05-16,0.7142857140000001
10,5 wk ahead inc death,point,,2020-04-20,2020-05-23,0.0
10,6 wk ahead inc death,point,,2020-04-20,2020-05-30,0.0
10,1 wk ahead cum death,point,,2020-04-20,2020-04-25,99.42857143
10,2 wk ahead cum death,point,,2020-04-20,2020-05-02,136.5714286
10,3 wk ahead cum death,point,,2020-04-20,2020-05-09,161.28571430000005
10,4 wk ahead cum death,point,,2020-04-20,2020-05-16,172.78571430000005
10,5 wk ahead cum death,point,,2020-04-20,2020-05-23,177.28571430000005
10,6 wk ahead cum death,point,,2020-04-20,2020-05-30,178.71428569999995
11,1 wk ahead inc death,point,,2020-04-20,2020-04-25,8.857142857000001
11,2 wk ahead inc death,point,,2020-04-20,2020-05-02,6.285714286
11,3 wk ahead inc death,point,,2020-04-20,2020-05-09,2.857142857
11,4 wk ahead inc death,point,,2020-04-20,2020-05-16,1.0
11,5 wk ahead inc death,point,,2020-04-20,2020-05-23,0.0
11,6 wk ahead inc death,point,,2020-04-20,2020-05-30,0.0
11,1 wk ahead cum death,point,,2020-04-20,2020-04-25,148.8571429
11,2 wk ahead cum death,point,,2020-04-20,2020-05-02,206.71428569999998
11,3 wk ahead cum death,point,,2020-04-20,2020-05-09,238.4285714
11,4 wk ahead cum death,point,,2020-04-20,2020-05-16,251.71428569999998
11,5 wk ahead cum death,point,,2020-04-20,2020-05-23,255.78571430000002
11,6 wk ahead cum death,point,,2020-04-20,2020-05-30,256.9285714
12,1 wk ahead inc death,point,,2020-04-20,2020-04-25,34.28571429
12,2 wk ahead inc death,point,,2020-04-20,2020-05-02,17.42857143
12,3 wk ahead inc death,point,,2020-04-20,2020-05-09,5.285714286
12,4 wk ahead inc death,point,,2020-04-20,2020-05-16,1.0
12,5 wk ahead inc death,point,,2020-04-20,2020-05-23,0.0
12,6 wk ahead inc death,point,,2020-04-20,2020-05-30,0.0
12,1 wk ahead cum death,point,,2020-04-20,2020-04-25,1006.0
12,2 wk ahead cum death,point,,2020-04-20,2020-05-02,1191.5714289999999
12,3 wk ahead cum death,point,,2020-04-20,2020-05-09,1266.357143
12,4 wk ahead cum death,point,,2020-04-20,2020-05-16,1286.642857
12,5 wk ahead cum death,point,,2020-04-20,2020-05-23,1291.642857
12,6 wk ahead cum death,point,,2020-04-20,2020-05-30,1292.642857
13,1 wk ahead inc death,point,,2020-04-20,2020-04-25,20.14285714
13,2 wk ahead inc death,point,,2020-04-20,2020-05-02,9.285714286000001
13,3 wk ahead inc death,point,,2020-04-20,2020-05-09,2.4285714290000002
13,4 wk ahead inc death,point,,2020-04-20,2020-05-16,0.571428571
13,5 wk ahead inc death,point,,2020-04-20,2020-05-23,0.0
13,6 wk ahead inc death,point,,2020-04-20,2020-05-30,0.0
13,1 wk ahead cum death,point,,2020-04-20,2020-04-25,825.5714286
13,2 wk ahead cum death,point,,2020-04-20,2020-05-02,929.6428571
13,3 wk ahead cum death,point,,2020-04-20,2020-05-09,966.5
13,4 wk ahead cum death,point,,2020-04-20,2020-05-16,976.0
13,5 wk ahead cum death,point,,2020-04-20,2020-05-23,977.8571429
13,6 wk ahead cum death,point,,2020-04-20,2020-05-30,978.2857142999999
15,1 wk ahead inc death,point,,2020-04-20,2020-04-25,0.0
15,2 wk ahead inc death,point,,2020-04-20,2020-05-02,0.28571428600000004
15,3 wk ahead inc death,point,,2020-04-20,2020-05-09,0.0
15,4 wk ahead inc death,point,,2020-04-20,2020-05-16,0.0
15,5 wk ahead inc death,point,,2020-04-20,2020-05-23,0.0
15,6 wk ahead inc death,point,,2020-04-20,2020-05-30,0.28571428600000004
15,1 wk ahead cum death,point,,2020-04-20,2020-04-25,12.14285714
15,2 wk ahead cum death,point,,2020-04-20,2020-05-02,14.85714286
15,3 wk ahead cum death,point,,2020-04-20,2020-05-09,17.57142857
15,4 wk ahead cum death,point,,2020-04-20,2020-05-16,20.14285714
15,5 wk ahead cum death,point,,2020-04-20,2020-05-23,23.0
15,6 wk ahead cum death,point,,2020-04-20,2020-05-30,25.85714286
16,1 wk ahead inc death,point,,2020-04-20,2020-04-25,2.857142857
16,2 wk ahead inc death,point,,2020-04-20,2020-05-02,3.0
16,3 wk ahead inc death,point,,2020-04-20,2020-05-09,2.4285714290000002
16,4 wk ahead inc death,point,,2020-04-20,2020-05-16,1.714285714
16,5 wk ahead inc death,point,,2020-04-20,2020-05-23,1.285714286
16,6 wk ahead inc death,point,,2020-04-20,2020-05-30,0.7142857140000001
16,1 wk ahead cum death,point,,2020-04-20,2020-04-25,62.14285714
16,2 wk ahead cum death,point,,2020-04-20,2020-05-02,85.0
16,3 wk ahead cum death,point,,2020-04-20,2020-05-09,106.07142859999999
16,4 wk ahead cum death,point,,2020-04-20,2020-05-16,122.1428571
16,5 wk ahead cum death,point,,2020-04-20,2020-05-23,134.28571430000002
16,6 wk ahead cum death,point,,2020-04-20,2020-05-30,142.4285714
17,1 wk ahead inc death,point,,2020-04-20,2020-04-25,64.71428571
17,2 wk ahead inc death,point,,2020-04-20,2020-05-02,31.57142857
17,3 wk ahead inc death,point,,2020-04-20,2020-05-09,8.0
17,4 wk ahead inc death,point,,2020-04-20,2020-05-16,1.428571429
17,5 wk ahead inc death,point,,2020-04-20,2020-05-23,0.0
17,6 wk ahead inc death,point,,2020-04-20,2020-05-30,0.0
17,1 wk ahead cum death,point,,2020-04-20,2020-04-25,1757.4285710000001
17,2 wk ahead cum death,point,,2020-04-20,2020-05-02,2103.857143
17,3 wk ahead cum death,point,,2020-04-20,2020-05-09,2226.857143
17,4 wk ahead cum death,point,,2020-04-20,2020-05-16,2254.071429
17,5 wk ahead cum death,point,,2020-04-20,2020-05-23,2259.142857
17,6 wk ahead cum death,point,,2020-04-20,2020-05-30,2259.785714
18,1 wk ahead inc death,point,,2020-04-20,2020-04-25,29.28571429
18,2 wk ahead inc death,point,,2020-04-20,2020-05-02,16.14285714
18,3 wk ahead inc death,point,,2020-04-20,2020-05-09,4.8571428569999995
18,4 wk ahead inc death,point,,2020-04-20,2020-05-16,1.0
18,5 wk ahead inc death,point,,2020-04-20,2020-05-23,0.0
18,6 wk ahead inc death,point,,2020-04-20,2020-05-30,0.0
18,1 wk ahead cum death,point,,2020-04-20,2020-04-25,758.2142857000001
18,2 wk ahead cum death,point,,2020-04-20,2020-05-02,926.1428571
18,3 wk ahead cum death,point,,2020-04-20,2020-05-09,997.2142857000001
18,4 wk ahead cum death,point,,2020-04-20,2020-05-16,1016.071429
18,5 wk ahead cum death,point,,2020-04-20,2020-05-23,1020.2857140000001
18,6 wk ahead cum death,point,,2020-04-20,2020-05-30,1021.0
19,1 wk ahead inc death,point,,2020-04-20,2020-04-25,5.571428571
19,2 wk ahead inc death,point,,2020-04-20,2020-05-02,3.714285714
19,3 wk ahead inc death,point,,2020-04-20,2020-05-09,1.571428571
19,4 wk ahead inc death,point,,2020-04-20,2020-05-16,0.571428571
19,5 wk ahead inc death,point,,2020-04-20,2020-05-23,0.0
19,6 wk ahead inc death,point,,2020-04-20,2020-05-30,0.0
19,1 wk ahead cum death,point,,2020-04-20,2020-04-25,110.0
19,2 wk ahead cum death,point,,2020-04-20,2020-05-02,144.4285714
19,3 wk ahead cum death,point,,2020-04-20,2020-05-09,162.8571429
19,4 wk ahead cum death,point,,2020-04-20,2020-05-16,170.4285714
19,5 wk ahead cum death,point,,2020-04-20,2020-05-23,173.1428571
19,6 wk ahead cum death,point,,2020-04-20,2020-05-30,174.28571430000005
20,1 wk ahead inc death,point,,2020-04-20,2020-04-25,4.1428571430000005
20,2 wk ahead inc death,point,,2020-04-20,2020-05-02,2.4285714290000002
