value,target,target_end_date,type,quantile,forecast_date,location
212.50683498382568,2 wk ahead inc case,2020-12-05,point,,2020-11-18,20005
64.41552305221558,1 wk ahead inc case,2020-11-28,point,,2020-11-18,30015
113.76397848129268,2 wk ahead inc case,2020-12-05,point,,2020-11-18,30015
86.15731525421137,1 wk ahead inc case,2020-11-28,point,,2020-11-18,35047
152.2531700134277,2 wk ahead inc case,2020-12-05,point,,2020-11-18,35047
52.24630975723278,1 wk ahead inc case,2020-11-28,point,,2020-11-18,28143
100.8154640197754,2 wk ahead inc case,2020-12-05,point,,2020-11-18,28143
40.5376787185669,1 wk ahead inc case,2020-11-28,point,,2020-11-18,8105
72.64013719558719,2 wk ahead inc case,2020-12-05,point,,2020-11-18,8105
3494.1267318725586,1 wk ahead inc case,2020-11-28,point,,2020-11-18,9009
5979.011344909668,2 wk ahead inc case,2020-12-05,point,,2020-11-18,9009
409.42362594604487,1 wk ahead inc case,2020-11-28,point,,2020-11-18,12087
758.5792617797853,2 wk ahead inc case,2020-12-05,point,,2020-11-18,12087
264.020357131958,1 wk ahead inc case,2020-11-28,point,,2020-11-18,39167
466.6887702941895,2 wk ahead inc case,2020-12-05,point,,2020-11-18,39167
72.26343345642091,1 wk ahead inc case,2020-11-28,point,,2020-11-18,6051
134.7186732292175,2 wk ahead inc case,2020-12-05,point,,2020-11-18,6051
168.49122333526591,1 wk ahead inc case,2020-11-28,point,,2020-11-18,21141
309.13312911987305,2 wk ahead inc case,2020-12-05,point,,2020-11-18,21141
246.1198711395264,1 wk ahead inc case,2020-11-28,point,,2020-11-18,46009
472.2299137115479,2 wk ahead inc case,2020-12-05,point,,2020-11-18,46009
2920.5634155273438,1 wk ahead inc case,2020-11-28,point,,2020-11-18,18057
5203.753234863281,2 wk ahead inc case,2020-12-05,point,,2020-11-18,18057
75.87817096710205,1 wk ahead inc case,2020-11-28,point,,2020-11-18,19133
138.5269284248352,2 wk ahead inc case,2020-12-05,point,,2020-11-18,19133
18.471062421798703,1 wk ahead inc case,2020-11-28,point,,2020-11-18,48267
31.74980473518372,2 wk ahead inc case,2020-12-05,point,,2020-11-18,48267
536.0616073608398,1 wk ahead inc case,2020-11-28,point,,2020-11-18,18109
948.3475303649902,2 wk ahead inc case,2020-12-05,point,,2020-11-18,18109
258.7761039733889,1 wk ahead inc case,2020-11-28,point,,2020-11-18,39005
