forecast_date,target,location,target_end_date,type,quantile,value
2020-08-10,2 wk ahead inc death,21,2020-08-22,point,,43.7272347032986
2020-08-10,3 wk ahead inc death,US,2020-08-29,point,,12251.7609272214
2020-08-10,3 wk ahead inc death,36,2020-08-29,point,,54.41193216874989
2020-08-10,3 wk ahead inc death,34,2020-08-29,point,,73.4088590171418
2020-08-10,3 wk ahead inc death,06,2020-08-29,point,,1199.96593548737
2020-08-10,3 wk ahead inc death,48,2020-08-29,point,,2884.57354056161
2020-08-10,3 wk ahead inc death,25,2020-08-29,point,,124.60900867122999
2020-08-10,3 wk ahead inc death,12,2020-08-29,point,,2011.59320949823
2020-08-10,3 wk ahead inc death,17,2020-08-29,point,,111.08588348521002
2020-08-10,3 wk ahead inc death,42,2020-08-29,point,,138.60594736620502
2020-08-10,3 wk ahead inc death,26,2020-08-29,point,,48.8719007955434
2020-08-10,3 wk ahead inc death,09,2020-08-29,point,,48.4866204457578
2020-08-10,3 wk ahead inc death,22,2020-08-29,point,,375.52100371009595
2020-08-10,3 wk ahead inc death,13,2020-08-29,point,,549.872773869578
2020-08-10,3 wk ahead inc death,04,2020-08-29,point,,742.968867865015
2020-08-10,3 wk ahead inc death,39,2020-08-29,point,,282.102620034174
2020-08-10,3 wk ahead inc death,24,2020-08-29,point,,114.37960926366699
2020-08-10,3 wk ahead inc death,18,2020-08-29,point,,72.12568857180379
2020-08-10,3 wk ahead inc death,51,2020-08-29,point,,200.177388940322
2020-08-10,3 wk ahead inc death,37,2020-08-29,point,,323.408759477071
2020-08-10,3 wk ahead inc death,45,2020-08-29,point,,712.74886100065
2020-08-10,3 wk ahead inc death,28,2020-08-29,point,,332.091883105928
2020-08-10,3 wk ahead inc death,08,2020-08-29,point,,67.2232726783961
2020-08-10,3 wk ahead inc death,01,2020-08-29,point,,224.01822121257402
2020-08-10,3 wk ahead inc death,27,2020-08-29,point,,57.72466644279178
2020-08-10,3 wk ahead inc death,53,2020-08-29,point,,87.9260647560489
2020-08-10,3 wk ahead inc death,29,2020-08-29,point,,67.7482599475148
2020-08-10,3 wk ahead inc death,47,2020-08-29,point,,159.952366953936
