location,target,type,quantile,forecast_date,target_end_date,value
78,6 wk ahead inc death,point,,2020-06-29,2020-08-08,0
15,2 wk ahead cum death,point,,2020-06-29,2020-07-11,18
15,2 wk ahead inc death,point,,2020-06-29,2020-07-11,2
10,2 wk ahead cum death,point,,2020-06-29,2020-07-11,560
10,2 wk ahead inc death,point,,2020-06-29,2020-07-11,26
US,1 wk ahead cum death,point,,2020-06-29,2020-07-04,128581
US,1 wk ahead inc death,point,,2020-06-29,2020-07-04,3482
54,2 wk ahead cum death,point,,2020-06-29,2020-07-11,98
54,2 wk ahead inc death,point,,2020-06-29,2020-07-11,5
05,4 wk ahead cum death,point,,2020-06-29,2020-07-25,439
05,4 wk ahead inc death,point,,2020-06-29,2020-07-25,50
05,3 wk ahead cum death,point,,2020-06-29,2020-07-18,387
05,3 wk ahead inc death,point,,2020-06-29,2020-07-18,46
72,7 wk ahead cum death,point,,2020-06-29,2020-08-15,159
72,7 wk ahead inc death,point,,2020-06-29,2020-08-15,2
45,3 wk ahead cum death,point,,2020-06-29,2020-07-18,812
45,3 wk ahead inc death,point,,2020-06-29,2020-07-18,26
40,3 wk ahead cum death,point,,2020-06-29,2020-07-18,396
40,3 wk ahead inc death,point,,2020-06-29,2020-07-18,5
06,1 wk ahead cum death,point,,2020-06-29,2020-07-04,6249
06,1 wk ahead inc death,point,,2020-06-29,2020-07-04,370
37,5 wk ahead cum death,point,,2020-06-29,2020-08-01,1691
37,5 wk ahead inc death,point,,2020-06-29,2020-08-01,46
60,7 wk ahead cum death,point,,2020-06-29,2020-08-15,0
60,7 wk ahead inc death,point,,2020-06-29,2020-08-15,0
60,6 wk ahead cum death,point,,2020-06-29,2020-08-08,0
60,6 wk ahead inc death,point,,2020-06-29,2020-08-08,0
31,4 wk ahead cum death,point,,2020-06-29,2020-07-25,340
31,4 wk ahead inc death,point,,2020-06-29,2020-07-25,14
10,7 wk ahead cum death,point,,2020-06-29,2020-08-15,647
10,7 wk ahead inc death,point,,2020-06-29,2020-08-15,13
56,6 wk ahead cum death,point,,2020-06-29,2020-08-08,52
56,6 wk ahead inc death,point,,2020-06-29,2020-08-08,9
47,1 wk ahead cum death,point,,2020-06-29,2020-07-04,622
47,1 wk ahead inc death,point,,2020-06-29,2020-07-04,43
27,6 wk ahead cum death,point,,2020-06-29,2020-08-08,1771
