forecast_date,target,target_end_date,quantile,value,location,type
2021-01-24,17 day ahead inc hosp,2021-02-10,,82.55536663215008,05,point
2021-01-24,18 day ahead inc hosp,2021-02-11,,81.0870055318325,05,point
2021-01-24,19 day ahead inc hosp,2021-02-12,,83.30752970158632,05,point
2021-01-24,20 day ahead inc hosp,2021-02-13,,68.40389149599162,05,point
2021-01-24,21 day ahead inc hosp,2021-02-14,,41.093368415586326,05,point
2021-01-24,22 day ahead inc hosp,2021-02-15,,39.07936187390324,05,point
2021-01-24,23 day ahead inc hosp,2021-02-16,,80.22515006451334,05,point
2021-01-24,24 day ahead inc hosp,2021-02-17,,61.22662682192746,05,point
2021-01-24,25 day ahead inc hosp,2021-02-18,,59.758513351860024,05,point
2021-01-24,26 day ahead inc hosp,2021-02-19,,61.97881212159081,05,point
2021-01-24,27 day ahead inc hosp,2021-02-20,,47.07532311136917,05,point
2021-01-24,28 day ahead inc hosp,2021-02-21,,19.76480442591248,05,point
2021-01-24,1 day ahead inc hosp,2021-01-25,,0.0,60,point
2021-01-24,2 day ahead inc hosp,2021-01-26,,0.0,60,point
2021-01-24,3 day ahead inc hosp,2021-01-27,,0.0,60,point
2021-01-24,4 day ahead inc hosp,2021-01-28,,0.0,60,point
2021-01-24,5 day ahead inc hosp,2021-01-29,,0.0,60,point
2021-01-24,6 day ahead inc hosp,2021-01-30,,0.0,60,point
2021-01-24,7 day ahead inc hosp,2021-01-31,,0.0,60,point
2021-01-24,8 day ahead inc hosp,2021-02-01,,0.0,60,point
2021-01-24,9 day ahead inc hosp,2021-02-02,,0.0,60,point
2021-01-24,10 day ahead inc hosp,2021-02-03,,0.0,60,point
2021-01-24,11 day ahead inc hosp,2021-02-04,,0.0,60,point
2021-01-24,12 day ahead inc hosp,2021-02-05,,0.0,60,point
2021-01-24,13 day ahead inc hosp,2021-02-06,,0.0,60,point
2021-01-24,14 day ahead inc hosp,2021-02-07,,0.0,60,point
2021-01-24,15 day ahead inc hosp,2021-02-08,,0.0,60,point
2021-01-24,16 day ahead inc hosp,2021-02-09,,0.0,60,point
2021-01-24,17 day ahead inc hosp,2021-02-10,,0.0,60,point
2021-01-24,18 day ahead inc hosp,2021-02-11,,0.0,60,point
2021-01-24,19 day ahead inc hosp,2021-02-12,,0.0,60,point
2021-01-24,20 day ahead inc hosp,2021-02-13,,0.0,60,point
2021-01-24,21 day ahead inc hosp,2021-02-14,,0.0,60,point
2021-01-24,22 day ahead inc hosp,2021-02-15,,0.0,60,point
2021-01-24,23 day ahead inc hosp,2021-02-16,,0.0,60,point
2021-01-24,24 day ahead inc hosp,2021-02-17,,0.0,60,point
2021-01-24,25 day ahead inc hosp,2021-02-18,,0.0,60,point
2021-01-24,26 day ahead inc hosp,2021-02-19,,0.0,60,point
2021-01-24,27 day ahead inc hosp,2021-02-20,,0.0,60,point
2021-01-24,28 day ahead inc hosp,2021-02-21,,0.0,60,point
2021-01-24,1 day ahead inc hosp,2021-01-25,,502.46343272411735,04,point
2021-01-24,2 day ahead inc hosp,2021-01-26,,530.6294188946907,04,point
2021-01-24,3 day ahead inc hosp,2021-01-27,,529.8673961908723,04,point
2021-01-24,4 day ahead inc hosp,2021-01-28,,519.3329633750296,04,point
2021-01-24,5 day ahead inc hosp,2021-01-29,,523.5059135395611,04,point
2021-01-24,6 day ahead inc hosp,2021-01-30,,498.8252284013382,04,point
2021-01-24,7 day ahead inc hosp,2021-01-31,,478.2651585136892,04,point
2021-01-24,8 day ahead inc hosp,2021-02-01,,474.7814485495609,04,point
2021-01-24,9 day ahead inc hosp,2021-02-02,,504.1265671097286,04,point
2021-01-24,10 day ahead inc hosp,2021-02-03,,503.7764576592352,04,point
2021-01-24,11 day ahead inc hosp,2021-02-04,,493.52976059135483,04,point
2021-01-24,12 day ahead inc hosp,2021-02-05,,498.05149476250847,04,point
2021-01-24,13 day ahead inc hosp,2021-02-06,,473.63645226389633,04,point
2021-01-24,14 day ahead inc hosp,2021-02-07,,452.78294290456114,04,point
2021-01-24,15 day ahead inc hosp,2021-02-08,,448.73088197838035,04,point
2021-01-24,16 day ahead inc hosp,2021-02-09,,477.5306621017022,04,point
2021-01-24,17 day ahead inc hosp,2021-02-10,,476.9900463407084,04,point
2021-01-24,18 day ahead inc hosp,2021-02-11,,466.61027401890226,04,point
2021-01-24,19 day ahead inc hosp,2021-02-12,,470.9706986994803,04,point
2021-01-24,20 day ahead inc hosp,2021-02-13,,446.43279885905497,04,point
2021-01-24,21 day ahead inc hosp,2021-02-14,,425.7150026102214,04,point
2021-01-24,22 day ahead inc hosp,2021-02-15,,421.9257988879921,04,point
2021-01-24,23 day ahead inc hosp,2021-02-16,,450.97779313061034,04,point
2021-01-24,24 day ahead inc hosp,2021-02-17,,450.5252848236944,04,point
2021-01-24,25 day ahead inc hosp,2021-02-18,,440.20705860927626,04,point
2021-01-24,26 day ahead inc hosp,2021-02-19,,444.6420874777446,04,point
2021-01-24,27 day ahead inc hosp,2021-02-20,,420.16100805243286,04,point
2021-01-24,28 day ahead inc hosp,2021-02-21,,399.38044571109435,04,point
2021-01-24,1 day ahead inc hosp,2021-01-25,,1365.8923372341628,06,point
2021-01-24,2 day ahead inc hosp,2021-01-26,,1544.7724325792074,06,point
2021-01-24,3 day ahead inc hosp,2021-01-27,,1502.8324638439829,06,point
2021-01-24,4 day ahead inc hosp,2021-01-28,,1394.0211949951522,06,point
2021-01-24,5 day ahead inc hosp,2021-01-29,,1396.3763601389276,06,point
2021-01-24,6 day ahead inc hosp,2021-01-30,,1261.9739143091515,06,point
2021-01-24,7 day ahead inc hosp,2021-01-31,,1021.1550209014991,06,point
2021-01-24,8 day ahead inc hosp,2021-02-01,,993.9244954767804,06,point
2021-01-24,9 day ahead inc hosp,2021-02-02,,1167.5142922349228,06,point
2021-01-24,10 day ahead inc hosp,2021-02-03,,1119.8475325079958,06,point
2021-01-24,11 day ahead inc hosp,2021-02-04,,1005.0791165466812,06,point
2021-01-24,12 day ahead inc hosp,2021-02-05,,1003.4006979239008,06,point
2021-01-24,13 day ahead inc hosp,2021-02-06,,866.6542187853752,06,point
2021-01-24,14 day ahead inc hosp,2021-02-07,,625.1402143791962,06,point
2021-01-24,15 day ahead inc hosp,2021-02-08,,598.7402776156732,06,point
2021-01-24,16 day ahead inc hosp,2021-02-09,,773.8431759804413,06,point
2021-01-24,17 day ahead inc hosp,2021-02-10,,727.8143649576967,06,point
2021-01-24,18 day ahead inc hosp,2021-02-11,,614.749784600395,06,point
2021-01-24,19 day ahead inc hosp,2021-02-12,,614.2250331831882,06,point
2021-01-24,20 day ahead inc hosp,2021-02-13,,478.1489838172854,06,point
2021-01-24,21 day ahead inc hosp,2021-02-14,,236.8337918816233,06,point
2021-01-24,22 day ahead inc hosp,2021-02-15,,210.196293816369,06,point
2021-01-24,23 day ahead inc hosp,2021-02-16,,384.8664215873672,06,point
2021-01-24,24 day ahead inc hosp,2021-02-17,,338.3691317685204,06,point
2021-01-24,25 day ahead inc hosp,2021-02-18,,224.817227941068,06,point
2021-01-24,26 day ahead inc hosp,2021-02-19,,223.96250976909016,06,point
2021-01-24,27 day ahead inc hosp,2021-02-20,,87.69470706642834,06,point
2021-01-24,28 day ahead inc hosp,2021-02-21,,0.0,06,point
2021-01-24,1 day ahead inc hosp,2021-01-25,,82.53828995716366,08,point
2021-01-24,2 day ahead inc hosp,2021-01-26,,119.84274727969677,08,point
2021-01-24,3 day ahead inc hosp,2021-01-27,,116.33883113822796,08,point
2021-01-24,4 day ahead inc hosp,2021-01-28,,111.62602542851212,08,point
2021-01-24,5 day ahead inc hosp,2021-01-29,,112.09803148647556,08,point
2021-01-24,6 day ahead inc hosp,2021-01-30,,98.4270139339344,08,point
2021-01-24,7 day ahead inc hosp,2021-01-31,,82.34078487615734,08,point
2021-01-24,8 day ahead inc hosp,2021-02-01,,71.85770554798691,08,point
2021-01-24,9 day ahead inc hosp,2021-02-02,,108.8303812485017,08,point
2021-01-24,10 day ahead inc hosp,2021-02-03,,105.42856542112776,08,point
2021-01-24,11 day ahead inc hosp,2021-02-04,,100.88655185555643,08,point
2021-01-24,12 day ahead inc hosp,2021-02-05,,101.44000762112007,08,point
2021-01-24,13 day ahead inc hosp,2021-02-06,,87.838695645893,08,point
