location,forecast_date,value,target_end_date,target,type,quantile
1037,2021-04-17,11.21907545,2021-05-08,3 wk ahead inc case,point,
1037,2021-04-17,9.11078709,2021-05-15,4 wk ahead inc case,point,
1039,2021-04-17,10.19255039,2021-04-24,1 wk ahead inc case,point,
1039,2021-04-17,16.801721500000006,2021-05-01,2 wk ahead inc case,point,
1039,2021-04-17,34.15399114,2021-05-08,3 wk ahead inc case,point,
1039,2021-04-17,43.0027743,2021-05-15,4 wk ahead inc case,point,
1041,2021-04-17,6.455625,2021-04-24,1 wk ahead inc case,point,
1041,2021-04-17,7.89714024,2021-05-01,2 wk ahead inc case,point,
1041,2021-04-17,4.16864668,2021-05-08,3 wk ahead inc case,point,
1041,2021-04-17,7.959665119999999,2021-05-15,4 wk ahead inc case,point,
1043,2021-04-17,45.42487336,2021-04-24,1 wk ahead inc case,point,
1043,2021-04-17,42.2232604,2021-05-01,2 wk ahead inc case,point,
1043,2021-04-17,55.45106528,2021-05-08,3 wk ahead inc case,point,
1043,2021-04-17,60.05830528,2021-05-15,4 wk ahead inc case,point,
1045,2021-04-17,5.22108296,2021-04-24,1 wk ahead inc case,point,
1045,2021-04-17,5.10307016,2021-05-01,2 wk ahead inc case,point,
1045,2021-04-17,11.80521376,2021-05-08,3 wk ahead inc case,point,
1045,2021-04-17,31.31617164,2021-05-15,4 wk ahead inc case,point,
1047,2021-04-17,20.90861552,2021-04-24,1 wk ahead inc case,point,
1047,2021-04-17,24.69702812,2021-05-01,2 wk ahead inc case,point,
1047,2021-04-17,46.17437048000001,2021-05-08,3 wk ahead inc case,point,
1047,2021-04-17,58.84072436,2021-05-15,4 wk ahead inc case,point,
1049,2021-04-17,43.52066641,2021-04-24,1 wk ahead inc case,point,
1049,2021-04-17,43.58073733,2021-05-01,2 wk ahead inc case,point,
1049,2021-04-17,71.13541136,2021-05-08,3 wk ahead inc case,point,
1049,2021-04-17,153.86594054,2021-05-15,4 wk ahead inc case,point,
1051,2021-04-17,87.52137557,2021-04-24,1 wk ahead inc case,point,
1051,2021-04-17,62.11351574,2021-05-01,2 wk ahead inc case,point,
1051,2021-04-17,77.31178009,2021-05-08,3 wk ahead inc case,point,
1051,2021-04-17,108.70393113,2021-05-15,4 wk ahead inc case,point,
1053,2021-04-17,17.53914774,2021-04-24,1 wk ahead inc case,point,
1053,2021-04-17,19.02205158,2021-05-01,2 wk ahead inc case,point,
1053,2021-04-17,24.13968168,2021-05-08,3 wk ahead inc case,point,
1053,2021-04-17,66.35152125,2021-05-15,4 wk ahead inc case,point,
1055,2021-04-17,53.38082796,2021-04-24,1 wk ahead inc case,point,
1055,2021-04-17,56.15331344000001,2021-05-01,2 wk ahead inc case,point,
1055,2021-04-17,55.21551588,2021-05-08,3 wk ahead inc case,point,
1055,2021-04-17,57.81619112,2021-05-15,4 wk ahead inc case,point,
1057,2021-04-17,15.04152936,2021-04-24,1 wk ahead inc case,point,
1057,2021-04-17,12.51716466,2021-05-01,2 wk ahead inc case,point,
1057,2021-04-17,14.5699125,2021-05-08,3 wk ahead inc case,point,
1057,2021-04-17,14.84851368,2021-05-15,4 wk ahead inc case,point,
1059,2021-04-17,17.12177028,2021-04-24,1 wk ahead inc case,point,
1059,2021-04-17,84.30732840000002,2021-05-01,2 wk ahead inc case,point,
1059,2021-04-17,87.93810714,2021-05-08,3 wk ahead inc case,point,
1059,2021-04-17,157.11985656,2021-05-15,4 wk ahead inc case,point,
1061,2021-04-17,5.5221642000000015,2021-04-24,1 wk ahead inc case,point,
1061,2021-04-17,8.07544269,2021-05-01,2 wk ahead inc case,point,
1061,2021-04-17,14.05813752,2021-05-08,3 wk ahead inc case,point,
1061,2021-04-17,15.61154175,2021-05-15,4 wk ahead inc case,point,
1063,2021-04-17,3.2444,2021-04-24,1 wk ahead inc case,point,
1063,2021-04-17,3.22136476,2021-05-01,2 wk ahead inc case,point,
1063,2021-04-17,8.40559152,2021-05-08,3 wk ahead inc case,point,
1063,2021-04-17,7.1525231300000005,2021-05-15,4 wk ahead inc case,point,
1065,2021-04-17,16.66873572,2021-04-24,1 wk ahead inc case,point,
1065,2021-04-17,22.32651239,2021-05-01,2 wk ahead inc case,point,
1065,2021-04-17,21.35500458,2021-05-08,3 wk ahead inc case,point,
1065,2021-04-17,23.90984596,2021-05-15,4 wk ahead inc case,point,
1067,2021-04-17,5.9966307,2021-04-24,1 wk ahead inc case,point,
1067,2021-04-17,21.1404717,2021-05-01,2 wk ahead inc case,point,
1067,2021-04-17,23.315871899999998,2021-05-08,3 wk ahead inc case,point,
1067,2021-04-17,33.19721955,2021-05-15,4 wk ahead inc case,point,
1069,2021-04-17,24.84097602,2021-04-24,1 wk ahead inc case,point,
1069,2021-04-17,33.45235908,2021-05-01,2 wk ahead inc case,point,
1069,2021-04-17,43.77585408,2021-05-08,3 wk ahead inc case,point,
1069,2021-04-17,55.23652176,2021-05-15,4 wk ahead inc case,point,
1071,2021-04-17,22.35818808,2021-04-24,1 wk ahead inc case,point,
1071,2021-04-17,36.59560636,2021-05-01,2 wk ahead inc case,point,
1071,2021-04-17,104.56639796,2021-05-08,3 wk ahead inc case,point,
1071,2021-04-17,108.2390716,2021-05-15,4 wk ahead inc case,point,
1073,2021-04-17,440.31532206999987,2021-04-24,1 wk ahead inc case,point,
1073,2021-04-17,418.0621404,2021-05-01,2 wk ahead inc case,point,
1073,2021-04-17,626.1843798599998,2021-05-08,3 wk ahead inc case,point,
1073,2021-04-17,579.25446788,2021-05-15,4 wk ahead inc case,point,
1075,2021-04-17,5.6843468,2021-04-24,1 wk ahead inc case,point,
1075,2021-04-17,4.2897657,2021-05-01,2 wk ahead inc case,point,
1075,2021-04-17,5.83440715,2021-05-08,3 wk ahead inc case,point,
1075,2021-04-17,9.32624385,2021-05-15,4 wk ahead inc case,point,
1077,2021-04-17,51.12984331000001,2021-04-24,1 wk ahead inc case,point,
1077,2021-04-17,60.29888683,2021-05-01,2 wk ahead inc case,point,
1077,2021-04-17,51.63336178,2021-05-08,3 wk ahead inc case,point,
1077,2021-04-17,59.88531549,2021-05-15,4 wk ahead inc case,point,
1079,2021-04-17,15.00741768,2021-04-24,1 wk ahead inc case,point,
1079,2021-04-17,14.66303264,2021-05-01,2 wk ahead inc case,point,
1079,2021-04-17,13.146223960000002,2021-05-08,3 wk ahead inc case,point,
1079,2021-04-17,17.48824108,2021-05-15,4 wk ahead inc case,point,
1081,2021-04-17,68.62882278000001,2021-04-24,1 wk ahead inc case,point,
1081,2021-04-17,93.65401556,2021-05-01,2 wk ahead inc case,point,
1081,2021-04-17,88.32120934000002,2021-05-08,3 wk ahead inc case,point,
1081,2021-04-17,166.25981848,2021-05-15,4 wk ahead inc case,point,
1083,2021-04-17,43.0379165,2021-04-24,1 wk ahead inc case,point,
1083,2021-04-17,45.41484395,2021-05-01,2 wk ahead inc case,point,
1083,2021-04-17,59.7189421,2021-05-08,3 wk ahead inc case,point,
1083,2021-04-17,83.64351315,2021-05-15,4 wk ahead inc case,point,
1085,2021-04-17,2.3522331000000003,2021-04-24,1 wk ahead inc case,point,
1085,2021-04-17,2.35456734,2021-05-01,2 wk ahead inc case,point,
1085,2021-04-17,2.34377148,2021-05-08,3 wk ahead inc case,point,
1085,2021-04-17,4.12742262,2021-05-15,4 wk ahead inc case,point,
1087,2021-04-17,9.69908308,2021-04-24,1 wk ahead inc case,point,
1087,2021-04-17,12.21017372,2021-05-01,2 wk ahead inc case,point,
1087,2021-04-17,18.384912720000006,2021-05-08,3 wk ahead inc case,point,
1087,2021-04-17,17.016442400000006,2021-05-15,4 wk ahead inc case,point,
1089,2021-04-17,230.73371466000003,2021-04-24,1 wk ahead inc case,point,
1089,2021-04-17,213.50531886,2021-05-01,2 wk ahead inc case,point,
1089,2021-04-17,279.78989361,2021-05-08,3 wk ahead inc case,point,
1089,2021-04-17,655.10788575,2021-05-15,4 wk ahead inc case,point,
1091,2021-04-17,0.0,2021-04-24,1 wk ahead inc case,point,
1091,2021-04-17,2.34599131,2021-05-01,2 wk ahead inc case,point,
1091,2021-04-17,11.38117968,2021-05-08,3 wk ahead inc case,point,
1091,2021-04-17,11.06937429,2021-05-15,4 wk ahead inc case,point,
1093,2021-04-17,6.80068719,2021-04-24,1 wk ahead inc case,point,
1093,2021-04-17,12.65633109,2021-05-01,2 wk ahead inc case,point,
1093,2021-04-17,29.81624949,2021-05-08,3 wk ahead inc case,point,
1093,2021-04-17,55.17436644,2021-05-15,4 wk ahead inc case,point,
1095,2021-04-17,59.59730016000001,2021-04-24,1 wk ahead inc case,point,
1095,2021-04-17,74.09210988,2021-05-01,2 wk ahead inc case,point,
1095,2021-04-17,92.21497686,2021-05-08,3 wk ahead inc case,point,
1095,2021-04-17,127.96135698,2021-05-15,4 wk ahead inc case,point,
1097,2021-04-17,281.5736903,2021-04-24,1 wk ahead inc case,point,
1097,2021-04-17,251.5911727,2021-05-01,2 wk ahead inc case,point,
1097,2021-04-17,429.57311599999986,2021-05-08,3 wk ahead inc case,point,
1097,2021-04-17,858.6462479,2021-05-15,4 wk ahead inc case,point,
1099,2021-04-17,3.95938101,2021-04-24,1 wk ahead inc case,point,
1099,2021-04-17,8.14827633,2021-05-01,2 wk ahead inc case,point,
1099,2021-04-17,28.780099289999995,2021-05-08,3 wk ahead inc case,point,
1099,2021-04-17,33.20721678,2021-05-15,4 wk ahead inc case,point,
1101,2021-04-17,149.5260572,2021-04-24,1 wk ahead inc case,point,
1101,2021-04-17,151.90642506,2021-05-01,2 wk ahead inc case,point,
1101,2021-04-17,175.60139038,2021-05-08,3 wk ahead inc case,point,
1101,2021-04-17,157.181284,2021-05-15,4 wk ahead inc case,point,
1103,2021-04-17,55.24502319000001,2021-04-24,1 wk ahead inc case,point,
1103,2021-04-17,49.34484849,2021-05-01,2 wk ahead inc case,point,
1103,2021-04-17,56.54713071000001,2021-05-08,3 wk ahead inc case,point,
1103,2021-04-17,98.11045062,2021-05-15,4 wk ahead inc case,point,
1105,2021-04-17,6.9635092000000025,2021-04-24,1 wk ahead inc case,point,
1105,2021-04-17,7.860092239999997,2021-05-01,2 wk ahead inc case,point,
1105,2021-04-17,13.72143248,2021-05-08,3 wk ahead inc case,point,
1105,2021-04-17,9.68386421,2021-05-15,4 wk ahead inc case,point,
1107,2021-04-17,6.6506409999999985,2021-04-24,1 wk ahead inc case,point,
1107,2021-04-17,12.822563399999998,2021-05-01,2 wk ahead inc case,point,
1107,2021-04-17,18.3961872,2021-05-08,3 wk ahead inc case,point,
1107,2021-04-17,25.1763732,2021-05-15,4 wk ahead inc case,point,
1109,2021-04-17,9.11562192,2021-04-24,1 wk ahead inc case,point,
1109,2021-04-17,22.35426798,2021-05-01,2 wk ahead inc case,point,
1109,2021-04-17,9.5070294,2021-05-08,3 wk ahead inc case,point,
1109,2021-04-17,11.4541326,2021-05-15,4 wk ahead inc case,point,
1111,2021-04-17,8.707524840000001,2021-04-24,1 wk ahead inc case,point,
1111,2021-04-17,16.580925060000002,2021-05-01,2 wk ahead inc case,point,
