location,target,type,quantile,forecast_date,target_end_date,value
17,1 wk ahead cum death,point,,2020-05-18,2020-05-23,5640.5
17,1 wk ahead inc death,point,,2020-05-18,2020-05-23,963.84
17,2 wk ahead cum death,point,,2020-05-18,2020-05-30,6651.035
17,2 wk ahead inc death,point,,2020-05-18,2020-05-30,1010.535
17,3 wk ahead cum death,point,,2020-05-18,2020-06-06,7688.045
17,3 wk ahead inc death,point,,2020-05-18,2020-06-06,1037.01
17,4 wk ahead cum death,point,,2020-05-18,2020-06-13,8764.075
17,4 wk ahead inc death,point,,2020-05-18,2020-06-13,1076.03
17,5 wk ahead cum death,point,,2020-05-18,2020-06-20,9908.14
17,5 wk ahead inc death,point,,2020-05-18,2020-06-20,1144.065
17,1 wk ahead cum death,point,,2020-05-11,2020-05-16,3696.785
17,1 wk ahead inc death,point,,2020-05-11,2020-05-16,628.745
17,2 wk ahead cum death,point,,2020-05-11,2020-05-23,4347.46
17,2 wk ahead inc death,point,,2020-05-11,2020-05-23,650.675
17,3 wk ahead cum death,point,,2020-05-11,2020-05-30,5012.04
17,3 wk ahead inc death,point,,2020-05-11,2020-05-30,664.58
17,4 wk ahead cum death,point,,2020-05-11,2020-06-06,5688.935
17,4 wk ahead inc death,point,,2020-05-11,2020-06-06,676.895
17,5 wk ahead cum death,point,,2020-05-11,2020-06-13,6352.9
17,5 wk ahead inc death,point,,2020-05-11,2020-06-13,663.965
17,1 wk ahead cum death,point,,2020-05-05,2020-05-16,4210.87
17,1 wk ahead inc death,point,,2020-05-05,2020-05-16,742.145
17,2 wk ahead cum death,point,,2020-05-05,2020-05-23,4996.615
17,2 wk ahead inc death,point,,2020-05-05,2020-05-23,785.745
17,3 wk ahead cum death,point,,2020-05-05,2020-05-30,5827.735
17,3 wk ahead inc death,point,,2020-05-05,2020-05-30,831.12
17,4 wk ahead cum death,point,,2020-05-05,2020-06-06,6696.405
17,4 wk ahead inc death,point,,2020-05-05,2020-06-06,868.67
17,5 wk ahead cum death,point,,2020-05-05,2020-06-13,7585.475
17,5 wk ahead inc death,point,,2020-05-05,2020-06-13,889.07
