,Unnamed: 0,forecast_date,target,target_end_date,location,type,quantile,value
83,3.0,2020-04-19,1 wk ahead inc death,2020-04-25,US,point,,5166
84,4.0,2020-04-19,2 day ahead cum death,2020-04-21,US,point,,48162
85,5.0,2020-04-19,2 day ahead inc death,2020-04-21,US,point,,3882
86,6.0,2020-04-19,3 day ahead cum death,2020-04-22,US,point,,52338
87,7.0,2020-04-19,3 day ahead inc death,2020-04-22,US,point,,4160
88,8.0,2020-04-19,4 day ahead cum death,2020-04-23,US,point,,56826
89,9.0,2020-04-19,4 day ahead inc death,2020-04-23,US,point,,4468
90,10.0,2020-04-19,5 day ahead cum death,2020-04-24,US,point,,61646
91,11.0,2020-04-19,5 day ahead inc death,2020-04-24,US,point,,4801
92,12.0,2020-04-19,6 day ahead cum death,2020-04-25,US,point,,66826
93,13.0,2020-04-19,6 day ahead inc death,2020-04-25,US,point,,5166
94,14.0,2020-04-19,7 day ahead cum death,2020-04-26,US,point,,72396
95,15.0,2020-04-19,7 day ahead inc death,2020-04-26,US,point,,5555
96,0.0,2020-04-26,1 day ahead cum death,2020-04-27,US,point,,56936
97,1.0,2020-04-26,1 day ahead inc death,2020-04-27,US,point,,2055
98,2.0,2020-04-26,1 wk ahead cum death,2020-05-02,US,point,,66865
99,3.0,2020-04-26,1 wk ahead inc death,2020-05-02,US,point,,1916
100,4.0,2020-04-26,2 day ahead cum death,2020-04-28,US,point,,58975
101,5.0,2020-04-26,2 day ahead inc death,2020-04-28,US,point,,2040
102,6.0,2020-04-26,3 day ahead cum death,2020-04-29,US,point,,61001
103,7.0,2020-04-26,3 day ahead inc death,2020-04-29,US,point,,2026
104,8.0,2020-04-26,4 day ahead cum death,2020-04-30,US,point,,63001
105,9.0,2020-04-26,4 day ahead inc death,2020-04-30,US,point,,2001
106,10.0,2020-04-26,5 day ahead cum death,2020-05-01,US,point,,64957
107,11.0,2020-04-26,5 day ahead inc death,2020-05-01,US,point,,1958
108,12.0,2020-04-26,6 day ahead cum death,2020-05-02,US,point,,66865
109,13.0,2020-04-26,6 day ahead inc death,2020-05-02,US,point,,1916
110,14.0,2020-04-26,7 day ahead cum death,2020-05-03,US,point,,68767
111,15.0,2020-04-26,7 day ahead inc death,2020-05-03,US,point,,1910
112,0.0,2020-05-03,1 day ahead cum death,2020-05-04,US,point,,69616
113,1.0,2020-05-03,1 day ahead inc death,2020-05-04,US,point,,1934
114,2.0,2020-05-03,1 wk ahead cum death,2020-05-09,US,point,,79268
115,3.0,2020-05-03,1 wk ahead inc death,2020-05-09,US,point,,1926
116,4.0,2020-05-03,2 day ahead cum death,2020-05-05,US,point,,71552
117,5.0,2020-05-03,2 day ahead inc death,2020-05-05,US,point,,1950
118,6.0,2020-05-03,3 day ahead cum death,2020-05-06,US,point,,73486
119,7.0,2020-05-03,3 day ahead inc death,2020-05-06,US,point,,1946
120,8.0,2020-05-03,4 day ahead cum death,2020-05-07,US,point,,75408
121,9.0,2020-05-03,4 day ahead inc death,2020-05-07,US,point,,1930
122,10.0,2020-05-03,5 day ahead cum death,2020-05-08,US,point,,77335
123,11.0,2020-05-03,5 day ahead inc death,2020-05-08,US,point,,1924
124,12.0,2020-05-03,6 day ahead cum death,2020-05-09,US,point,,79268
125,13.0,2020-05-03,6 day ahead inc death,2020-05-09,US,point,,1926
126,14.0,2020-05-03,7 day ahead cum death,2020-05-10,US,point,,81201
