location,forecast_date,quantile,value,target,target_end_date,type
33,2020-07-20,,6.0,2 wk ahead inc death,2020-08-01,point
34,2020-07-20,,150.0,2 wk ahead inc death,2020-08-01,point
35,2020-07-20,,27.0,2 wk ahead inc death,2020-08-01,point
36,2020-07-20,,114.0,2 wk ahead inc death,2020-08-01,point
37,2020-07-20,,165.0,2 wk ahead inc death,2020-08-01,point
38,2020-07-20,,5.0,2 wk ahead inc death,2020-08-01,point
39,2020-07-20,,122.0,2 wk ahead inc death,2020-08-01,point
40,2020-07-20,,36.0,2 wk ahead inc death,2020-08-01,point
41,2020-07-20,,23.0,2 wk ahead inc death,2020-08-01,point
42,2020-07-20,,115.0,2 wk ahead inc death,2020-08-01,point
44,2020-07-20,,12.0,2 wk ahead inc death,2020-08-01,point
45,2020-07-20,,182.0,2 wk ahead inc death,2020-08-01,point
46,2020-07-20,,7.0,2 wk ahead inc death,2020-08-01,point
47,2020-07-20,,111.0,2 wk ahead inc death,2020-08-01,point
48,2020-07-20,,841.0,2 wk ahead inc death,2020-08-01,point
49,2020-07-20,,23.0,2 wk ahead inc death,2020-08-01,point
50,2020-07-20,,0.0,2 wk ahead inc death,2020-08-01,point
51,2020-07-20,,89.0,2 wk ahead inc death,2020-08-01,point
53,2020-07-20,,60.0,2 wk ahead inc death,2020-08-01,point
54,2020-07-20,,5.0,2 wk ahead inc death,2020-08-01,point
55,2020-07-20,,26.0,2 wk ahead inc death,2020-08-01,point
56,2020-07-20,,2.0,2 wk ahead inc death,2020-08-01,point
72,2020-07-20,,15.0,2 wk ahead inc death,2020-08-01,point
1,2020-07-20,,135.0,3 wk ahead inc death,2020-08-08,point
2,2020-07-20,,3.0,3 wk ahead inc death,2020-08-08,point
4,2020-07-20,,399.0,3 wk ahead inc death,2020-08-08,point
5,2020-07-20,,46.0,3 wk ahead inc death,2020-08-08,point
6,2020-07-20,,825.0,3 wk ahead inc death,2020-08-08,point
8,2020-07-20,,35.0,3 wk ahead inc death,2020-08-08,point
9,2020-07-20,,17.0,3 wk ahead inc death,2020-08-08,point
10,2020-07-20,,0.0,3 wk ahead inc death,2020-08-08,point
11,2020-07-20,,9.0,3 wk ahead inc death,2020-08-08,point
12,2020-07-20,,868.0,3 wk ahead inc death,2020-08-08,point
13,2020-07-20,,235.0,3 wk ahead inc death,2020-08-08,point
15,2020-07-20,,2.0,3 wk ahead inc death,2020-08-08,point
16,2020-07-20,,22.0,3 wk ahead inc death,2020-08-08,point
17,2020-07-20,,136.0,3 wk ahead inc death,2020-08-08,point
18,2020-07-20,,67.0,3 wk ahead inc death,2020-08-08,point
19,2020-07-20,,39.0,3 wk ahead inc death,2020-08-08,point
20,2020-07-20,,23.0,3 wk ahead inc death,2020-08-08,point
21,2020-07-20,,42.0,3 wk ahead inc death,2020-08-08,point
22,2020-07-20,,160.0,3 wk ahead inc death,2020-08-08,point
23,2020-07-20,,5.0,3 wk ahead inc death,2020-08-08,point
24,2020-07-20,,68.0,3 wk ahead inc death,2020-08-08,point
25,2020-07-20,,85.0,3 wk ahead inc death,2020-08-08,point
