location,quantile,target,value,type,forecast_date,target_end_date
28,,1 wk ahead cum death,2487.038500000001,point,2020-08-31,2020-09-05
29,,1 wk ahead inc death,85.43900000000002,point,2020-08-31,2020-09-05
29,,1 wk ahead inc case,7251.078500000001,point,2020-08-31,2020-09-05
29,,1 wk ahead cum death,1536.2479999999994,point,2020-08-31,2020-09-05
30,,1 wk ahead inc death,5.7025000000000015,point,2020-08-31,2020-09-05
30,,1 wk ahead inc case,1013.438,point,2020-08-31,2020-09-05
30,,1 wk ahead cum death,106.60750000000002,point,2020-08-31,2020-09-05
31,,1 wk ahead inc death,10.804499999999976,point,2020-08-31,2020-09-05
31,,1 wk ahead inc case,2037.144,point,2020-08-31,2020-09-05
31,,1 wk ahead cum death,404.61999999999983,point,2020-08-31,2020-09-05
32,,1 wk ahead inc death,28.9305,point,2020-08-31,2020-09-05
32,,1 wk ahead inc case,2830.2715,point,2020-08-31,2020-09-05
32,,1 wk ahead cum death,1322.0385,point,2020-08-31,2020-09-05
33,,1 wk ahead inc death,3.085,point,2020-08-31,2020-09-05
33,,1 wk ahead inc case,167.06750000000005,point,2020-08-31,2020-09-05
33,,1 wk ahead cum death,435.6355,point,2020-08-31,2020-09-05
34,,1 wk ahead inc death,65.9995,point,2020-08-31,2020-09-05
34,,1 wk ahead inc case,955.104,point,2020-08-31,2020-09-05
34,,1 wk ahead cum death,16008.108,point,2020-08-31,2020-09-05
35,,1 wk ahead inc death,12.114999999999995,point,2020-08-31,2020-09-05
35,,1 wk ahead inc case,815.7095,point,2020-08-31,2020-09-05
35,,1 wk ahead cum death,781.2509999999997,point,2020-08-31,2020-09-05
36,,1 wk ahead inc death,123.641,point,2020-08-31,2020-09-05
36,,1 wk ahead inc case,2162.673500000001,point,2020-08-31,2020-09-05
36,,1 wk ahead cum death,33079.678500000016,point,2020-08-31,2020-09-05
37,,1 wk ahead inc death,78.65250000000002,point,2020-08-31,2020-09-05
37,,1 wk ahead inc case,10721.3325,point,2020-08-31,2020-09-05
37,,1 wk ahead cum death,2744.699000000001,point,2020-08-31,2020-09-05
38,,1 wk ahead inc death,12.085499999999987,point,2020-08-31,2020-09-05
38,,1 wk ahead inc case,1831.4795,point,2020-08-31,2020-09-05
38,,1 wk ahead cum death,153.14249999999996,point,2020-08-31,2020-09-05
39,,1 wk ahead inc death,112.56300000000002,point,2020-08-31,2020-09-05
39,,1 wk ahead inc case,6447.451999999998,point,2020-08-31,2020-09-05
39,,1 wk ahead cum death,4237.856,point,2020-08-31,2020-09-05
40,,1 wk ahead inc death,28.65799999999999,point,2020-08-31,2020-09-05
40,,1 wk ahead inc case,5071.0295000000015,point,2020-08-31,2020-09-05
40,,1 wk ahead cum death,820.127,point,2020-08-31,2020-09-05
41,,1 wk ahead inc death,12.531,point,2020-08-31,2020-09-05
41,,1 wk ahead inc case,1662.4394999999995,point,2020-08-31,2020-09-05
41,,1 wk ahead cum death,461.9215,point,2020-08-31,2020-09-05
42,,1 wk ahead inc death,101.4655,point,2020-08-31,2020-09-05
42,,1 wk ahead inc case,3332.788500000001,point,2020-08-31,2020-09-05
42,,1 wk ahead cum death,7760.277000000003,point,2020-08-31,2020-09-05
44,,1 wk ahead inc death,14.606,point,2020-08-31,2020-09-05
44,,1 wk ahead inc case,395.0675,point,2020-08-31,2020-09-05
44,,1 wk ahead cum death,1063.109,point,2020-08-31,2020-09-05
45,,1 wk ahead inc death,50.864,point,2020-08-31,2020-09-05
45,,1 wk ahead inc case,5017.6534999999985,point,2020-08-31,2020-09-05
45,,1 wk ahead cum death,2715.1065,point,2020-08-31,2020-09-05
46,,1 wk ahead inc death,10.999499999999983,point,2020-08-31,2020-09-05
46,,1 wk ahead inc case,1915.935,point,2020-08-31,2020-09-05
46,,1 wk ahead cum death,177.85000000000005,point,2020-08-31,2020-09-05
47,,1 wk ahead inc death,51.85249999999998,point,2020-08-31,2020-09-05
47,,1 wk ahead inc case,12194.784,point,2020-08-31,2020-09-05
47,,1 wk ahead cum death,1762.3935000000006,point,2020-08-31,2020-09-05
48,,1 wk ahead inc death,401.7880000000001,point,2020-08-31,2020-09-05
48,,1 wk ahead inc case,29140.096,point,2020-08-31,2020-09-05
48,,1 wk ahead cum death,13008.521000000004,point,2020-08-31,2020-09-05
49,,1 wk ahead inc death,10.632999999999996,point,2020-08-31,2020-09-05
49,,1 wk ahead inc case,2119.8975,point,2020-08-31,2020-09-05
49,,1 wk ahead cum death,347.64749999999987,point,2020-08-31,2020-09-05
50,,1 wk ahead inc death,0.6735,point,2020-08-31,2020-09-05
50,,1 wk ahead inc case,57.55100000000001,point,2020-08-31,2020-09-05
50,,1 wk ahead cum death,58.80299999999999,point,2020-08-31,2020-09-05
51,,1 wk ahead inc death,74.92949999999998,point,2020-08-31,2020-09-05
51,,1 wk ahead inc case,5949.329499999999,point,2020-08-31,2020-09-05
51,,1 wk ahead cum death,2639.469,point,2020-08-31,2020-09-05
53,,1 wk ahead inc death,48.3145,point,2020-08-31,2020-09-05
53,,1 wk ahead inc case,2799.6795,point,2020-08-31,2020-09-05
53,,1 wk ahead cum death,1962.2079999999999,point,2020-08-31,2020-09-05
54,,1 wk ahead inc death,5.903000000000002,point,2020-08-31,2020-09-05
54,,1 wk ahead inc case,989.2555,point,2020-08-31,2020-09-05
54,,1 wk ahead cum death,208.145,point,2020-08-31,2020-09-05
55,,1 wk ahead inc death,37.09049999999999,point,2020-08-31,2020-09-05
55,,1 wk ahead inc case,4937.799499999999,point,2020-08-31,2020-09-05
55,,1 wk ahead cum death,1156.5739999999996,point,2020-08-31,2020-09-05
56,,1 wk ahead inc death,1.3510000000000004,point,2020-08-31,2020-09-05
56,,1 wk ahead inc case,462.69800000000004,point,2020-08-31,2020-09-05
56,,1 wk ahead cum death,38.5795,point,2020-08-31,2020-09-05
60,,1 wk ahead inc death,0.0,point,2020-08-31,2020-09-05
60,,1 wk ahead inc case,0.0,point,2020-08-31,2020-09-05
60,,1 wk ahead cum death,0.0,point,2020-08-31,2020-09-05
66,,1 wk ahead inc death,4.781000000000001,point,2020-08-31,2020-09-05
66,,1 wk ahead inc case,609.4454999999998,point,2020-08-31,2020-09-05
66,,1 wk ahead cum death,15.613,point,2020-08-31,2020-09-05
69,,1 wk ahead inc death,0.0,point,2020-08-31,2020-09-05
69,,1 wk ahead inc case,0.0,point,2020-08-31,2020-09-05
69,,1 wk ahead cum death,2.0,point,2020-08-31,2020-09-05
72,,1 wk ahead inc death,43.90950000000001,point,2020-08-31,2020-09-05
72,,1 wk ahead inc case,2813.1359999999995,point,2020-08-31,2020-09-05
72,,1 wk ahead cum death,52.048,point,2020-08-31,2020-09-05
78,,1 wk ahead inc death,1.209,point,2020-08-31,2020-09-05
78,,1 wk ahead inc case,131.3085,point,2020-08-31,2020-09-05
78,,1 wk ahead cum death,15.433,point,2020-08-31,2020-09-05
01,,2 wk ahead inc death,76.008,point,2020-08-31,2020-09-12
01,,2 wk ahead inc case,6599.956,point,2020-08-31,2020-09-12
01,,2 wk ahead cum death,2264.165499999999,point,2020-08-31,2020-09-12
02,,2 wk ahead inc death,2.6570000000000005,point,2020-08-31,2020-09-12
02,,2 wk ahead inc case,697.4155000000002,point,2020-08-31,2020-09-12
02,,2 wk ahead cum death,41.96849999999999,point,2020-08-31,2020-09-12
04,,2 wk ahead inc death,35.979,point,2020-08-31,2020-09-12
04,,2 wk ahead inc case,2504.4210000000007,point,2020-08-31,2020-09-12
04,,2 wk ahead cum death,5056.8395,point,2020-08-31,2020-09-12
05,,2 wk ahead inc death,28.02549999999999,point,2020-08-31,2020-09-12
05,,2 wk ahead inc case,5526.875,point,2020-08-31,2020-09-12
05,,2 wk ahead cum death,808.1455,point,2020-08-31,2020-09-12
06,,2 wk ahead inc death,384.249,point,2020-08-31,2020-09-12
06,,2 wk ahead inc case,33668.5835,point,2020-08-31,2020-09-12
06,,2 wk ahead cum death,13599.124,point,2020-08-31,2020-09-12
08,,2 wk ahead inc death,44.74099999999999,point,2020-08-31,2020-09-12
08,,2 wk ahead inc case,1825.295,point,2020-08-31,2020-09-12
08,,2 wk ahead cum death,2030.8494999999994,point,2020-08-31,2020-09-12
09,,2 wk ahead inc death,21.848000000000006,point,2020-08-31,2020-09-12
