,location,target,type,quantile,forecast_date,target_end_date,value
2426,31,1 wk ahead inc death,point,,2020-06-18,2020-06-27,35.02079999999998
2427,33,1 wk ahead inc death,point,,2020-06-18,2020-06-27,55.12627999999995
2428,34,1 wk ahead inc death,point,,2020-06-18,2020-06-27,321.9959999999992
2429,35,1 wk ahead inc death,point,,2020-06-18,2020-06-27,46.38717000000002
2430,32,1 wk ahead inc death,point,,2020-06-18,2020-06-27,36.528129999999976
2431,36,1 wk ahead inc death,point,,2020-06-18,2020-06-27,240.55299999999988
2432,39,1 wk ahead inc death,point,,2020-06-18,2020-06-27,310.4494
2433,40,1 wk ahead inc death,point,,2020-06-18,2020-06-27,33.76623999999998
2434,41,1 wk ahead inc death,point,,2020-06-18,2020-06-27,15.691180000000005
2435,42,1 wk ahead inc death,point,,2020-06-18,2020-06-27,265.67399999999907
2436,44,1 wk ahead inc death,point,,2020-06-18,2020-06-27,50.29385000000002
2437,45,1 wk ahead inc death,point,,2020-06-18,2020-06-27,88.68744000000004
2438,46,1 wk ahead inc death,point,,2020-06-18,2020-06-27,15.321919999999993
2439,47,1 wk ahead inc death,point,,2020-06-18,2020-06-27,80.09670000000007
2440,48,1 wk ahead inc death,point,,2020-06-18,2020-06-27,253.94799999999992
2441,49,1 wk ahead inc death,point,,2020-06-18,2020-06-27,23.701460000000022
2442,51,1 wk ahead inc death,point,,2020-06-18,2020-06-27,142.49659999999994
2443,50,1 wk ahead inc death,point,,2020-06-18,2020-06-27,0.5483660000000015
2444,53,1 wk ahead inc death,point,,2020-06-18,2020-06-27,66.41319999999996
2445,55,1 wk ahead inc death,point,,2020-06-18,2020-06-27,80.2337
2446,54,1 wk ahead inc death,point,,2020-06-18,2020-06-27,13.290709999999974
2447,56,1 wk ahead inc death,point,,2020-06-18,2020-06-27,2.0645549999999986
4794,2,2 wk ahead cum death,point,,2020-06-18,2020-07-04,11.5132675
4795,1,2 wk ahead cum death,point,,2020-06-18,2020-07-04,1134.5585
4796,5,2 wk ahead cum death,point,,2020-06-18,2020-07-04,259.8276
4797,4,2 wk ahead cum death,point,,2020-06-18,2020-07-04,1621.0571
