,location,forecast_date,target_end_date,value,target,type,quantile
29305,01071,2020-07-12,2020-07-25,171.76509866021053,2 wk ahead inc case,point,
29306,01071,2020-07-12,2020-08-01,195.56282745937213,3 wk ahead inc case,point,
29307,01071,2020-07-12,2020-08-08,214.11948115221057,4 wk ahead inc case,point,
29308,01073,2020-07-12,2020-07-18,1855.0404798003765,1 wk ahead inc case,point,
29309,01073,2020-07-12,2020-07-25,2018.7987013566628,2 wk ahead inc case,point,
29310,01073,2020-07-12,2020-08-01,2241.477922591099,3 wk ahead inc case,point,
29311,01073,2020-07-12,2020-08-08,2312.330561126952,4 wk ahead inc case,point,
29312,01077,2020-07-12,2020-07-18,85.99626393196124,1 wk ahead inc case,point,
29313,01077,2020-07-12,2020-07-25,94.07186830620569,2 wk ahead inc case,point,
29314,01077,2020-07-12,2020-08-01,103.43665221226108,3 wk ahead inc case,point,
29315,01077,2020-07-12,2020-08-08,113.93792094204314,4 wk ahead inc case,point,
29316,01081,2020-07-12,2020-07-18,219.51937747506602,1 wk ahead inc case,point,
29317,01081,2020-07-12,2020-07-25,251.96584033405603,2 wk ahead inc case,point,
29318,01081,2020-07-12,2020-08-01,277.52368078633884,3 wk ahead inc case,point,
29319,01081,2020-07-12,2020-08-08,297.05970537395586,4 wk ahead inc case,point,
29320,01083,2020-07-12,2020-07-18,132.24028749164714,1 wk ahead inc case,point,
29321,01083,2020-07-12,2020-07-25,145.00438361691062,2 wk ahead inc case,point,
29322,01083,2020-07-12,2020-08-01,150.48655189457796,3 wk ahead inc case,point,
29323,01083,2020-07-12,2020-08-08,164.65070754256644,4 wk ahead inc case,point,
29324,01089,2020-07-12,2020-07-18,910.7464708521138,1 wk ahead inc case,point,
29325,01089,2020-07-12,2020-07-25,1011.0891400183252,2 wk ahead inc case,point,
29326,01089,2020-07-12,2020-08-01,1089.3168119441882,3 wk ahead inc case,point,
29327,01089,2020-07-12,2020-08-08,1143.9894231143128,4 wk ahead inc case,point,
29328,01095,2020-07-12,2020-07-18,281.2239627316293,1 wk ahead inc case,point,
29329,01095,2020-07-12,2020-07-25,291.0645413352102,2 wk ahead inc case,point,
29330,01095,2020-07-12,2020-08-01,314.2135922459273,3 wk ahead inc case,point,
29331,01095,2020-07-12,2020-08-08,333.9249025941424,4 wk ahead inc case,point,
29332,01097,2020-07-12,2020-07-18,987.7963547507877,1 wk ahead inc case,point,
29333,01097,2020-07-12,2020-07-25,1118.6699786778054,2 wk ahead inc case,point,
29334,01097,2020-07-12,2020-08-01,1256.05465061848,3 wk ahead inc case,point,
29335,01097,2020-07-12,2020-08-08,1324.7101164748085,4 wk ahead inc case,point,
