location,target,type,quantile,forecast_date,target_end_date,value
24021,8 wk ahead inc case,point,,2020-07-05,2020-08-29,194.8
24023,1 wk ahead inc case,point,,2020-07-05,2020-07-11,0.05
24023,2 wk ahead inc case,point,,2020-07-05,2020-07-18,0.06
24023,3 wk ahead inc case,point,,2020-07-05,2020-07-25,0.05
24023,4 wk ahead inc case,point,,2020-07-05,2020-08-01,0.05
24023,5 wk ahead inc case,point,,2020-07-05,2020-08-08,0.05
24023,6 wk ahead inc case,point,,2020-07-05,2020-08-15,0.05
24023,7 wk ahead inc case,point,,2020-07-05,2020-08-22,0.05
24023,8 wk ahead inc case,point,,2020-07-05,2020-08-29,0.05
24025,1 wk ahead inc case,point,,2020-07-05,2020-07-11,83.26
24025,2 wk ahead inc case,point,,2020-07-05,2020-07-18,97.49
24025,3 wk ahead inc case,point,,2020-07-05,2020-07-25,97.56
24025,4 wk ahead inc case,point,,2020-07-05,2020-08-01,97.33
24025,5 wk ahead inc case,point,,2020-07-05,2020-08-08,96.79
24025,6 wk ahead inc case,point,,2020-07-05,2020-08-15,95.95
24025,7 wk ahead inc case,point,,2020-07-05,2020-08-22,94.82
24025,8 wk ahead inc case,point,,2020-07-05,2020-08-29,93.42
24027,1 wk ahead inc case,point,,2020-07-05,2020-07-11,80.92
24027,2 wk ahead inc case,point,,2020-07-05,2020-07-18,78.55
24027,3 wk ahead inc case,point,,2020-07-05,2020-07-25,63.87
24027,4 wk ahead inc case,point,,2020-07-05,2020-08-01,51.55
24027,5 wk ahead inc case,point,,2020-07-05,2020-08-08,41.39
24027,6 wk ahead inc case,point,,2020-07-05,2020-08-15,33.08
24027,7 wk ahead inc case,point,,2020-07-05,2020-08-22,26.36
24027,8 wk ahead inc case,point,,2020-07-05,2020-08-29,20.94
24029,1 wk ahead inc case,point,,2020-07-05,2020-07-11,14.12
24029,2 wk ahead inc case,point,,2020-07-05,2020-07-18,16.49
24029,3 wk ahead inc case,point,,2020-07-05,2020-07-25,16.47
24029,4 wk ahead inc case,point,,2020-07-05,2020-08-01,16.42
24029,5 wk ahead inc case,point,,2020-07-05,2020-08-08,16.34
24029,6 wk ahead inc case,point,,2020-07-05,2020-08-15,16.22
24029,7 wk ahead inc case,point,,2020-07-05,2020-08-22,16.08
24029,8 wk ahead inc case,point,,2020-07-05,2020-08-29,15.92
24031,1 wk ahead inc case,point,,2020-07-05,2020-07-11,843.81
24031,2 wk ahead inc case,point,,2020-07-05,2020-07-18,901.3
24031,3 wk ahead inc case,point,,2020-07-05,2020-07-25,812.59
