,forecast_date,target,location,target_end_date,type,quantile,value
2544,2020-08-10,4 wk ahead inc death,17,2020-09-05,point,,114.077658454162
2568,2020-08-10,4 wk ahead inc death,42,2020-09-05,point,,160.513622608616
2592,2020-08-10,4 wk ahead inc death,26,2020-09-05,point,,50.623107412025796
2616,2020-08-10,4 wk ahead inc death,09,2020-09-05,point,,69.457270682884
2640,2020-08-10,4 wk ahead inc death,22,2020-09-05,point,,452.311990781273
2664,2020-08-10,4 wk ahead inc death,13,2020-09-05,point,,667.584338608458
2688,2020-08-10,4 wk ahead inc death,04,2020-09-05,point,,868.489589227479
2712,2020-08-10,4 wk ahead inc death,39,2020-09-05,point,,319.310386340998
2736,2020-08-10,4 wk ahead inc death,24,2020-09-05,point,,128.078983561773
2760,2020-08-10,4 wk ahead inc death,18,2020-09-05,point,,74.8382398464599
2784,2020-08-10,4 wk ahead inc death,51,2020-09-05,point,,243.64183773079398
2808,2020-08-10,4 wk ahead inc death,37,2020-09-05,point,,384.539594648044
2832,2020-08-10,4 wk ahead inc death,45,2020-09-05,point,,934.8149614271789
2856,2020-08-10,4 wk ahead inc death,28,2020-09-05,point,,399.99769541659106
2880,2020-08-10,4 wk ahead inc death,08,2020-09-05,point,,81.50983746147591
2904,2020-08-10,4 wk ahead inc death,01,2020-09-05,point,,252.09999436809102
2928,2020-08-10,4 wk ahead inc death,27,2020-09-05,point,,68.8842899669757
2952,2020-08-10,4 wk ahead inc death,53,2020-09-05,point,,93.35877753031679
2976,2020-08-10,4 wk ahead inc death,29,2020-09-05,point,,73.6129917009092
3000,2020-08-10,4 wk ahead inc death,47,2020-09-05,point,,181.630938809362
3024,2020-08-10,4 wk ahead inc death,44,2020-09-05,point,,0.7661992432485341
3048,2020-08-10,4 wk ahead inc death,55,2020-09-05,point,,116.942008384393
3072,2020-08-10,4 wk ahead inc death,32,2020-09-05,point,,322.575856199516
3096,2020-08-10,4 wk ahead inc death,19,2020-09-05,point,,78.50730811722771
3120,2020-08-10,4 wk ahead inc death,40,2020-09-05,point,,77.2534411229146
3144,2020-08-10,4 wk ahead inc death,21,2020-09-05,point,,48.881489211644706
3168,2020-08-10,1 wk ahead cum death,US,2020-08-15,point,,169808.392215441
3192,2020-08-10,1 wk ahead cum death,36,2020-08-15,point,,32835.707975772595
3216,2020-08-10,1 wk ahead cum death,34,2020-08-15,point,,15940.6775537272
3240,2020-08-10,1 wk ahead cum death,06,2020-08-15,point,,11242.222523736002
3264,2020-08-10,1 wk ahead cum death,48,2020-08-15,point,,10993.121804267701
3288,2020-08-10,1 wk ahead cum death,25,2020-08-15,point,,8830.095402532359
3312,2020-08-10,1 wk ahead cum death,12,2020-08-15,point,,9470.81189061182
3336,2020-08-10,1 wk ahead cum death,17,2020-08-15,point,,7947.100455214541
3360,2020-08-10,1 wk ahead cum death,42,2020-08-15,point,,7413.90348628509
3384,2020-08-10,1 wk ahead cum death,26,2020-08-15,point,,6492.002723422171
3408,2020-08-10,1 wk ahead cum death,09,2020-08-15,point,,4465.36080453255
3432,2020-08-10,1 wk ahead cum death,22,2020-08-15,point,,4480.79739268095
3456,2020-08-10,1 wk ahead cum death,13,2020-08-15,point,,4569.22698966184
3480,2020-08-10,1 wk ahead cum death,04,2020-08-15,point,,4686.12588381755
3504,2020-08-10,1 wk ahead cum death,39,2020-08-15,point,,3888.06926095266
3528,2020-08-10,1 wk ahead cum death,24,2020-08-15,point,,3665.1793692127294
3552,2020-08-10,1 wk ahead cum death,18,2020-08-15,point,,3102.3545948799
3576,2020-08-10,1 wk ahead cum death,51,2020-08-15,point,,2454.5596592389
3600,2020-08-10,1 wk ahead cum death,37,2020-08-15,point,,2413.71538827552
3624,2020-08-10,1 wk ahead cum death,45,2020-08-15,point,,2425.09001686274
3648,2020-08-10,1 wk ahead cum death,28,2020-08-15,point,,2102.71121113103
3672,2020-08-10,1 wk ahead cum death,08,2020-08-15,point,,1902.47997116868
3696,2020-08-10,1 wk ahead cum death,01,2020-08-15,point,,1932.0680128826
3720,2020-08-10,1 wk ahead cum death,27,2020-08-15,point,,1732.0936148155401
3744,2020-08-10,1 wk ahead cum death,53,2020-08-15,point,,1766.2419259809399
3768,2020-08-10,1 wk ahead cum death,29,2020-08-15,point,,1322.0996633957302
3792,2020-08-10,1 wk ahead cum death,47,2020-08-15,point,,1338.67801111768
3816,2020-08-10,1 wk ahead cum death,44,2020-08-15,point,,1017.1780228448199
3840,2020-08-10,1 wk ahead cum death,55,2020-08-15,point,,1057.19877161081
3864,2020-08-10,1 wk ahead cum death,32,2020-08-15,point,,1081.42239966943
3888,2020-08-10,1 wk ahead cum death,19,2020-08-15,point,,976.8672467899099
3912,2020-08-10,1 wk ahead cum death,40,2020-08-15,point,,657.761991294615
3936,2020-08-10,1 wk ahead cum death,21,2020-08-15,point,,813.026963645795
3960,2020-08-10,2 wk ahead cum death,US,2020-08-22,point,,180116.673675097
3984,2020-08-10,2 wk ahead cum death,36,2020-08-22,point,,32896.3801069725
4008,2020-08-10,2 wk ahead cum death,34,2020-08-22,point,,16012.8565625142
4032,2020-08-10,2 wk ahead cum death,06,2020-08-22,point,,12301.727848639299
4056,2020-08-10,2 wk ahead cum death,48,2020-08-22,point,,13370.963280605802
4080,2020-08-10,2 wk ahead cum death,25,2020-08-22,point,,8945.64089490044
4104,2020-08-10,2 wk ahead cum death,12,2020-08-22,point,,11128.362124813999
4128,2020-08-10,2 wk ahead cum death,17,2020-08-22,point,,8055.79163970331
4152,2020-08-10,2 wk ahead cum death,42,2020-08-22,point,,7531.506726121221
4176,2020-08-10,2 wk ahead cum death,26,2020-08-22,point,,6539.62040487793
4200,2020-08-10,2 wk ahead cum death,09,2020-08-22,point,,4499.57365565675
4224,2020-08-10,2 wk ahead cum death,22,2020-08-22,point,,4807.43967504882
4248,2020-08-10,2 wk ahead cum death,13,2020-08-22,point,,5028.92709408873
4272,2020-08-10,2 wk ahead cum death,04,2020-08-22,point,,5323.65943240004
4296,2020-08-10,2 wk ahead cum death,39,2020-08-22,point,,4137.80969740168
4320,2020-08-10,2 wk ahead cum death,24,2020-08-22,point,,3764.60027559488
4344,2020-08-10,2 wk ahead cum death,18,2020-08-22,point,,3171.83278883021
4368,2020-08-10,2 wk ahead cum death,51,2020-08-22,point,,2618.98460186731
4392,2020-08-10,2 wk ahead cum death,37,2020-08-22,point,,2683.91380551014
4416,2020-08-10,2 wk ahead cum death,45,2020-08-22,point,,2972.00126445299
4440,2020-08-10,2 wk ahead cum death,28,2020-08-22,point,,2376.12623254541
4464,2020-08-10,2 wk ahead cum death,08,2020-08-22,point,,1957.8725991468802
4488,2020-08-10,2 wk ahead cum death,01,2020-08-22,point,,2130.18163518456
4512,2020-08-10,2 wk ahead cum death,27,2020-08-22,point,,1783.68447025948
4536,2020-08-10,2 wk ahead cum death,53,2020-08-22,point,,1848.9549570452698
4560,2020-08-10,2 wk ahead cum death,29,2020-08-22,point,,1384.20805591638
4584,2020-08-10,2 wk ahead cum death,47,2020-08-22,point,,1479.45159495746
4608,2020-08-10,2 wk ahead cum death,44,2020-08-22,point,,1019.1470660014301
4632,2020-08-10,2 wk ahead cum death,55,2020-08-22,point,,1133.0049243394
4656,2020-08-10,2 wk ahead cum death,32,2020-08-22,point,,1259.02580127637
4680,2020-08-10,2 wk ahead cum death,19,2020-08-22,point,,1036.6821718835401
