,forecast_date,location,target,type,quantile,target_end_date,value
1269,2020-07-27,25,1 wk ahead inc death,point,,2020-08-01,69.1816
1270,2020-07-27,26,1 wk ahead inc death,point,,2020-08-01,41.2448
1271,2020-07-27,27,1 wk ahead inc death,point,,2020-08-01,19.6726
1272,2020-07-27,28,1 wk ahead inc death,point,,2020-08-01,137.4106
1273,2020-07-27,29,1 wk ahead inc death,point,,2020-08-01,58.6778
1274,2020-07-27,30,1 wk ahead inc death,point,,2020-08-01,13.8764
1275,2020-07-27,31,1 wk ahead inc death,point,,2020-08-01,15.0606
1276,2020-07-27,32,1 wk ahead inc death,point,,2020-08-01,93.3972
1277,2020-07-27,33,1 wk ahead inc death,point,,2020-08-01,8.4714
1278,2020-07-27,34,1 wk ahead inc death,point,,2020-08-01,163.7336
1279,2020-07-27,35,1 wk ahead inc death,point,,2020-08-01,28.4562
1280,2020-07-27,36,1 wk ahead inc death,point,,2020-08-01,119.2908
1281,2020-07-27,37,1 wk ahead inc death,point,,2020-08-01,171.862
1282,2020-07-27,38,1 wk ahead inc death,point,,2020-08-01,5.2314
1283,2020-07-27,39,1 wk ahead inc death,point,,2020-08-01,125.8426
1284,2020-07-27,40,1 wk ahead inc death,point,,2020-08-01,53.8048
1285,2020-07-27,41,1 wk ahead inc death,point,,2020-08-01,34.8882
1286,2020-07-27,42,1 wk ahead inc death,point,,2020-08-01,92.29799999999999
1287,2020-07-27,44,1 wk ahead inc death,point,,2020-08-01,7.0058
1288,2020-07-27,45,1 wk ahead inc death,point,,2020-08-01,375.63599999999997
1289,2020-07-27,46,1 wk ahead inc death,point,,2020-08-01,10.6848
1290,2020-07-27,47,1 wk ahead inc death,point,,2020-08-01,189.6538
1291,2020-07-27,48,1 wk ahead inc death,point,,2020-08-01,1469.9402
1292,2020-07-27,49,1 wk ahead inc death,point,,2020-08-01,39.2414
1293,2020-07-27,50,1 wk ahead inc death,point,,2020-08-01,0.42
1294,2020-07-27,51,1 wk ahead inc death,point,,2020-08-01,56.295
1295,2020-07-27,53,1 wk ahead inc death,point,,2020-08-01,61.2038
1296,2020-07-27,54,1 wk ahead inc death,point,,2020-08-01,2.5298
1297,2020-07-27,55,1 wk ahead inc death,point,,2020-08-01,33.054
1298,2020-07-27,56,1 wk ahead inc death,point,,2020-08-01,1.874
1299,2020-07-27,US,1 wk ahead inc death,point,,2020-08-01,7768.7858
2496,2020-07-27,01,1 wk ahead inc case,point,,2020-08-01,9416.7366
2497,2020-07-27,02,1 wk ahead inc case,point,,2020-08-01,407.69199999999995
2498,2020-07-27,04,1 wk ahead inc case,point,,2020-08-01,16802.9584
2499,2020-07-27,05,1 wk ahead inc case,point,,2020-08-01,3725.7566
2500,2020-07-27,06,1 wk ahead inc case,point,,2020-08-01,43498.7448
2501,2020-07-27,08,1 wk ahead inc case,point,,2020-08-01,2591.6734
2502,2020-07-27,09,1 wk ahead inc case,point,,2020-08-01,353.2488
2503,2020-07-27,10,1 wk ahead inc case,point,,2020-08-01,806.3604
2504,2020-07-27,11,1 wk ahead inc case,point,,2020-08-01,376.1434
2505,2020-07-27,12,1 wk ahead inc case,point,,2020-08-01,57678.4224
2506,2020-07-27,13,1 wk ahead inc case,point,,2020-08-01,18786.9884
2507,2020-07-27,15,1 wk ahead inc case,point,,2020-08-01,179.2916
2508,2020-07-27,16,1 wk ahead inc case,point,,2020-08-01,6409.4064
2509,2020-07-27,17,1 wk ahead inc case,point,,2020-08-01,7063.855
2510,2020-07-27,18,1 wk ahead inc case,point,,2020-08-01,4122.3518
2511,2020-07-27,19,1 wk ahead inc case,point,,2020-08-01,3186.834000000001
2512,2020-07-27,20,1 wk ahead inc case,point,,2020-08-01,2982.027
2513,2020-07-27,21,1 wk ahead inc case,point,,2020-08-01,4651.9898
2514,2020-07-27,22,1 wk ahead inc case,point,,2020-08-01,11231.2308
2515,2020-07-27,23,1 wk ahead inc case,point,,2020-08-01,128.4974
2516,2020-07-27,24,1 wk ahead inc case,point,,2020-08-01,3969.3184
