,location,target,type,quantile,forecast_date,target_end_date,value
1727,10,4 wk ahead inc death,point,,2020-06-21,2020-07-18,16.28828118
1820,12,1 wk ahead cum death,point,,2020-06-21,2020-06-27,3451.250775
1821,12,2 wk ahead cum death,point,,2020-06-21,2020-07-04,3860.753643
1822,12,3 wk ahead cum death,point,,2020-06-21,2020-07-11,4321.841411
1823,12,4 wk ahead cum death,point,,2020-06-21,2020-07-18,4848.091116
1916,12,1 wk ahead inc death,point,,2020-06-21,2020-06-27,307.2507751
1917,12,2 wk ahead inc death,point,,2020-06-21,2020-07-04,409.50286789999996
1918,12,3 wk ahead inc death,point,,2020-06-21,2020-07-11,461.0877683
1919,12,4 wk ahead inc death,point,,2020-06-21,2020-07-18,526.2497045
2012,13,1 wk ahead cum death,point,,2020-06-21,2020-06-27,2894.695801000001
2013,13,2 wk ahead cum death,point,,2020-06-21,2020-07-04,3259.149924
2014,13,3 wk ahead cum death,point,,2020-06-21,2020-07-11,3692.2460159999996
2015,13,4 wk ahead cum death,point,,2020-06-21,2020-07-18,4207.438427
2108,13,1 wk ahead inc death,point,,2020-06-21,2020-06-27,252.6958014
2109,13,2 wk ahead inc death,point,,2020-06-21,2020-07-04,364.4541226
2110,13,3 wk ahead inc death,point,,2020-06-21,2020-07-11,433.0960924
2111,13,4 wk ahead inc death,point,,2020-06-21,2020-07-18,515.1924111000002
2204,15,1 wk ahead cum death,point,,2020-06-21,2020-06-27,17.0
2205,15,2 wk ahead cum death,point,,2020-06-21,2020-07-04,17.0
2206,15,3 wk ahead cum death,point,,2020-06-21,2020-07-11,17.0
2207,15,4 wk ahead cum death,point,,2020-06-21,2020-07-18,17.0
2300,15,1 wk ahead inc death,point,,2020-06-21,2020-06-27,0.0
2301,15,2 wk ahead inc death,point,,2020-06-21,2020-07-04,0.0
2302,15,3 wk ahead inc death,point,,2020-06-21,2020-07-11,0.0
2303,15,4 wk ahead inc death,point,,2020-06-21,2020-07-18,0.0
2396,19,1 wk ahead cum death,point,,2020-06-21,2020-06-27,709.8655131
2397,19,2 wk ahead cum death,point,,2020-06-21,2020-07-04,734.2946945
2398,19,3 wk ahead cum death,point,,2020-06-21,2020-07-11,754.7374907000003
2399,19,4 wk ahead cum death,point,,2020-06-21,2020-07-18,771.4266421
2492,19,1 wk ahead inc death,point,,2020-06-21,2020-06-27,28.86551307
2493,19,2 wk ahead inc death,point,,2020-06-21,2020-07-04,24.42918142
2494,19,3 wk ahead inc death,point,,2020-06-21,2020-07-11,20.44279623
2495,19,4 wk ahead inc death,point,,2020-06-21,2020-07-18,16.68915136
2588,16,1 wk ahead cum death,point,,2020-06-21,2020-06-27,91.56404905
2589,16,2 wk ahead cum death,point,,2020-06-21,2020-07-04,94.90683112
2590,16,3 wk ahead cum death,point,,2020-06-21,2020-07-11,98.35754595
2591,16,4 wk ahead cum death,point,,2020-06-21,2020-07-18,102.2567463
2684,16,1 wk ahead inc death,point,,2020-06-21,2020-06-27,2.5640490469999997
2685,16,2 wk ahead inc death,point,,2020-06-21,2020-07-04,3.342782073
2686,16,3 wk ahead inc death,point,,2020-06-21,2020-07-11,3.450714828
2687,16,4 wk ahead inc death,point,,2020-06-21,2020-07-18,3.899200348
2780,17,1 wk ahead cum death,point,,2020-06-21,2020-06-27,6933.272408
2781,17,2 wk ahead cum death,point,,2020-06-21,2020-07-04,7228.573942
2782,17,3 wk ahead cum death,point,,2020-06-21,2020-07-11,7484.466319
2783,17,4 wk ahead cum death,point,,2020-06-21,2020-07-18,7712.295548999998
2876,17,1 wk ahead inc death,point,,2020-06-21,2020-06-27,308.2724078
2877,17,2 wk ahead inc death,point,,2020-06-21,2020-07-04,295.3015341
2878,17,3 wk ahead inc death,point,,2020-06-21,2020-07-11,255.89237740000002
2879,17,4 wk ahead inc death,point,,2020-06-21,2020-07-18,227.82923
2972,18,1 wk ahead cum death,point,,2020-06-21,2020-06-27,2642.80558
2973,18,2 wk ahead cum death,point,,2020-06-21,2020-07-04,2750.196155
2974,18,3 wk ahead cum death,point,,2020-06-21,2020-07-11,2848.19023
2975,18,4 wk ahead cum death,point,,2020-06-21,2020-07-18,2935.6542210000002
3068,18,1 wk ahead inc death,point,,2020-06-21,2020-06-27,106.80557959999999
3069,18,2 wk ahead inc death,point,,2020-06-21,2020-07-04,107.3905758
3070,18,3 wk ahead inc death,point,,2020-06-21,2020-07-11,97.99407449
3071,18,4 wk ahead inc death,point,,2020-06-21,2020-07-18,87.46399127
3164,20,1 wk ahead cum death,point,,2020-06-21,2020-06-27,271.31108660000007
3165,20,2 wk ahead cum death,point,,2020-06-21,2020-07-04,292.1717238
3166,20,3 wk ahead cum death,point,,2020-06-21,2020-07-11,317.4936558
3167,20,4 wk ahead cum death,point,,2020-06-21,2020-07-18,348.34639169999997
3260,20,1 wk ahead inc death,point,,2020-06-21,2020-06-27,15.31108662
3261,20,2 wk ahead inc death,point,,2020-06-21,2020-07-04,20.86063715
3262,20,3 wk ahead inc death,point,,2020-06-21,2020-07-11,25.32193205
3263,20,4 wk ahead inc death,point,,2020-06-21,2020-07-18,30.85273586
3356,21,1 wk ahead cum death,point,,2020-06-21,2020-06-27,549.8769652999998
3357,21,2 wk ahead cum death,point,,2020-06-21,2020-07-04,579.6964897
3358,21,3 wk ahead cum death,point,,2020-06-21,2020-07-11,610.7155468999998
3359,21,4 wk ahead cum death,point,,2020-06-21,2020-07-18,642.5706913
3452,21,1 wk ahead inc death,point,,2020-06-21,2020-06-27,25.87696534
3453,21,2 wk ahead inc death,point,,2020-06-21,2020-07-04,29.81952438
