forecast_date,target,target_end_date,quantile,type,location,value
2020-12-21,1 wk ahead cum death,2020-12-26,,point,05,3428.3464620277678
2020-12-21,2 wk ahead cum death,2021-01-02,,point,05,3680.968258420802
2020-12-21,3 wk ahead cum death,2021-01-09,,point,05,3949.848491425402
2020-12-21,4 wk ahead cum death,2021-01-16,,point,05,4236.0335345723815
2020-12-21,5 wk ahead cum death,2021-01-23,,point,05,4540.63710474125
2020-12-21,6 wk ahead cum death,2021-01-30,,point,05,4864.844596297575
2020-12-21,7 wk ahead cum death,2021-02-06,,point,05,5209.917694170237
2020-12-21,8 wk ahead cum death,2021-02-13,,point,05,5577.199283820825
2020-12-21,1 wk ahead inc death,2020-12-26,,point,06,1758.5553618881731
2020-12-21,2 wk ahead inc death,2021-01-02,,point,06,2160.6457017457087
2020-12-21,3 wk ahead inc death,2021-01-09,,point,06,2643.780793579909
2020-12-21,4 wk ahead inc death,2021-01-16,,point,06,3234.9481818582044
2020-12-21,5 wk ahead inc death,2021-01-23,,point,06,3958.3046237117615
2020-12-21,6 wk ahead inc death,2021-01-30,,point,06,4843.4084916617885
2020-12-21,7 wk ahead inc death,2021-02-06,,point,06,5926.427611603087
2020-12-21,8 wk ahead inc death,2021-02-13,,point,06,7251.617181585436
2020-12-21,1 wk ahead cum death,2020-12-26,,point,06,24340.555361888175
2020-12-21,2 wk ahead cum death,2021-01-02,,point,06,26501.201063633882
2020-12-21,3 wk ahead cum death,2021-01-09,,point,06,29144.9818572138
2020-12-21,4 wk ahead cum death,2021-01-16,,point,06,32379.930039072
2020-12-21,5 wk ahead cum death,2021-01-23,,point,06,36338.23466278376
2020-12-21,6 wk ahead cum death,2021-01-30,,point,06,41181.64315444555
2020-12-21,7 wk ahead cum death,2021-02-06,,point,06,47108.07076604863
2020-12-21,8 wk ahead cum death,2021-02-13,,point,06,54359.68794763407
2020-12-21,1 wk ahead inc death,2020-12-26,,point,08,370.31371688694963
2020-12-21,2 wk ahead inc death,2021-01-02,,point,08,351.17954730193526
2020-12-21,3 wk ahead inc death,2021-01-09,,point,08,333.0340433509852
2020-12-21,4 wk ahead inc death,2021-01-16,,point,08,315.82612052104093
2020-12-21,5 wk ahead inc death,2021-01-23,,point,08,299.5073338440907
2020-12-21,6 wk ahead inc death,2021-01-30,,point,08,284.0317415114491
2020-12-21,7 wk ahead inc death,2021-02-06,,point,08,269.35577553510336
2020-12-21,8 wk ahead inc death,2021-02-13,,point,08,255.4381190920266
2020-12-21,1 wk ahead cum death,2020-12-26,,point,08,4709.31371688695
2020-12-21,2 wk ahead cum death,2021-01-02,,point,08,5060.4932641888845
2020-12-21,3 wk ahead cum death,2021-01-09,,point,08,5393.527307539871
2020-12-21,4 wk ahead cum death,2021-01-16,,point,08,5709.353428060911
2020-12-21,5 wk ahead cum death,2021-01-23,,point,08,6008.860761905003
2020-12-21,6 wk ahead cum death,2021-01-30,,point,08,6292.892503416451
2020-12-21,7 wk ahead cum death,2021-02-06,,point,08,6562.248278951554
2020-12-21,8 wk ahead cum death,2021-02-13,,point,08,6817.686398043582
2020-12-21,1 wk ahead inc death,2020-12-26,,point,09,192.70188132580205
2020-12-21,2 wk ahead inc death,2021-01-02,,point,09,155.02835301818732
2020-12-21,3 wk ahead inc death,2021-01-09,,point,09,124.72006019960779
