location,forecast_date,value,target_end_date,target,type,quantile
4021,2020-08-05,1794,2020-08-22,2 wk ahead inc case,point,
4023,2020-08-05,194,2020-08-22,2 wk ahead inc case,point,
4025,2020-08-05,613,2020-08-22,2 wk ahead inc case,point,
4027,2020-08-05,1560,2020-08-22,2 wk ahead inc case,point,
5001,2020-08-05,66,2020-08-22,2 wk ahead inc case,point,
5003,2020-08-05,119,2020-08-22,2 wk ahead inc case,point,
5005,2020-08-05,22,2020-08-22,2 wk ahead inc case,point,
5007,2020-08-05,1212,2020-08-22,2 wk ahead inc case,point,
5009,2020-08-05,150,2020-08-22,2 wk ahead inc case,point,
5011,2020-08-05,92,2020-08-22,2 wk ahead inc case,point,
5013,2020-08-05,0,2020-08-22,2 wk ahead inc case,point,
5015,2020-08-05,13,2020-08-22,2 wk ahead inc case,point,
5017,2020-08-05,249,2020-08-22,2 wk ahead inc case,point,
5019,2020-08-05,63,2020-08-22,2 wk ahead inc case,point,
5021,2020-08-05,39,2020-08-22,2 wk ahead inc case,point,
5023,2020-08-05,19,2020-08-22,2 wk ahead inc case,point,
5025,2020-08-05,39,2020-08-22,2 wk ahead inc case,point,
5027,2020-08-05,81,2020-08-22,2 wk ahead inc case,point,
5029,2020-08-05,37,2020-08-22,2 wk ahead inc case,point,
5031,2020-08-05,429,2020-08-22,2 wk ahead inc case,point,
5033,2020-08-05,233,2020-08-22,2 wk ahead inc case,point,
5035,2020-08-05,326,2020-08-22,2 wk ahead inc case,point,
5037,2020-08-05,16,2020-08-22,2 wk ahead inc case,point,
5039,2020-08-05,44,2020-08-22,2 wk ahead inc case,point,
5041,2020-08-05,16,2020-08-22,2 wk ahead inc case,point,
5043,2020-08-05,101,2020-08-22,2 wk ahead inc case,point,
5045,2020-08-05,400,2020-08-22,2 wk ahead inc case,point,
5047,2020-08-05,2,2020-08-22,2 wk ahead inc case,point,
5049,2020-08-05,15,2020-08-22,2 wk ahead inc case,point,
5051,2020-08-05,362,2020-08-22,2 wk ahead inc case,point,
5053,2020-08-05,7,2020-08-22,2 wk ahead inc case,point,
5055,2020-08-05,255,2020-08-22,2 wk ahead inc case,point,
5057,2020-08-05,92,2020-08-22,2 wk ahead inc case,point,
5059,2020-08-05,129,2020-08-22,2 wk ahead inc case,point,
5061,2020-08-05,78,2020-08-22,2 wk ahead inc case,point,
5063,2020-08-05,306,2020-08-22,2 wk ahead inc case,point,
5065,2020-08-05,8,2020-08-22,2 wk ahead inc case,point,
5067,2020-08-05,28,2020-08-22,2 wk ahead inc case,point,
5069,2020-08-05,371,2020-08-22,2 wk ahead inc case,point,
5071,2020-08-05,108,2020-08-22,2 wk ahead inc case,point,
5073,2020-08-05,10,2020-08-22,2 wk ahead inc case,point,
5075,2020-08-05,18,2020-08-22,2 wk ahead inc case,point,
5077,2020-08-05,28,2020-08-22,2 wk ahead inc case,point,
5079,2020-08-05,51,2020-08-22,2 wk ahead inc case,point,
5081,2020-08-05,82,2020-08-22,2 wk ahead inc case,point,
5083,2020-08-05,101,2020-08-22,2 wk ahead inc case,point,
5085,2020-08-05,296,2020-08-22,2 wk ahead inc case,point,
5087,2020-08-05,28,2020-08-22,2 wk ahead inc case,point,
5089,2020-08-05,9,2020-08-22,2 wk ahead inc case,point,
5091,2020-08-05,118,2020-08-22,2 wk ahead inc case,point,
5093,2020-08-05,443,2020-08-22,2 wk ahead inc case,point,
5095,2020-08-05,8,2020-08-22,2 wk ahead inc case,point,
5097,2020-08-05,32,2020-08-22,2 wk ahead inc case,point,
5099,2020-08-05,42,2020-08-22,2 wk ahead inc case,point,
5101,2020-08-05,78,2020-08-22,2 wk ahead inc case,point,
5103,2020-08-05,7,2020-08-22,2 wk ahead inc case,point,
5105,2020-08-05,12,2020-08-22,2 wk ahead inc case,point,
5107,2020-08-05,94,2020-08-22,2 wk ahead inc case,point,
